mode,pattern,injection_rate,link_latency,sim_cycles,torus_x,torus_y,torus_z,traffic_epoch_cycles,traffic_x_bias,traffic_x_hops,seed,deadlock,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,escape_hops,escape_transitions,pool_allocations,owned_pool_allocations,demand_reclaims,owner_migrations,release_handoffs,release_keeps,ownership_wait_starts,ownership_wait_completions,ownership_wait_cycles,ownership_wait_max,pool_write_blocks,pool_read_conflicts,pool_reads,reserved_reads,borrowed_peak,sim_ticks,pool_allocations_east,pool_allocations_west,pool_allocations_north,pool_allocations_south,pool_allocations_up,pool_allocations_down,pool_reads_east,pool_reads_west,pool_reads_north,pool_reads_south,pool_reads_up,pool_reads_down,reserved_reads_east,reserved_reads_west,reserved_reads_north,reserved_reads_south,reserved_reads_up,reserved_reads_down,migrations_to_east,migrations_to_west,migrations_to_north,migrations_to_south,migrations_to_up,migrations_to_down
private_v4,torus3d_xbiased,0.02,8,3000,8,4,4,0,1.0,3,1,0,3840.0,3927.0,3870.0,1.02265625,0.985485103132162,0.010078125,2.005685,44.142377,46.148062,3.01137,232.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v4,torus3d_xbiased,0.05,8,3000,8,4,4,0,1.0,3,1,0,9600.0,9600.0,9477.0,1.0,0.9871875,0.0246796875,2.04474,45.755408,47.800148,3.134431,4332.0,1433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v4,torus3d_xbiased,0.08,8,3000,8,4,4,0,1.0,3,1,0,15360.0,15294.0,15047.0,0.995703125,0.9838498757682751,0.03918489583333333,2.171263,48.598591,50.769854,3.220775,12047.0,4027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v4,torus3d_xbiased,0.1,8,3000,8,4,4,0,1.0,3,1,0,19200.0,15325.0,14688.0,0.7981770833333334,0.9584339314845024,0.03825,54.677356,90.727397,145.404752,3.400735,18431.0,5815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v4,torus3d_xbiased,0.12,8,3000,8,4,4,0,1.0,3,1,0,23040.0,9111.0,8221.0,0.39544270833333334,0.9023158819009988,0.021408854166666668,402.113247,238.43024,640.543486,3.819852,19391.0,5691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v4,torus3d_xbiased,0.15,8,3000,8,4,4,0,1.0,3,1,0,28800.0,8229.0,7340.0,0.28572916666666665,0.8919674322517924,0.019114583333333334,612.864305,278.71812,891.582425,3.926975,19356.0,5672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v4,torus3d_xbiased,0.2,8,3000,8,4,4,0,1.0,3,1,0,38400.0,7976.0,7073.0,0.20770833333333333,0.8867853560682046,0.018419270833333334,781.225788,291.332674,1072.558462,3.960554,19182.0,5491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_pressure,torus3d_xbiased,0.02,8,3000,8,4,4,0,1.0,3,1,0,3840.0,3927.0,3865.0,1.02265625,0.9842118665648077,0.010065104166666667,2.005692,46.000517,48.00621,3.00621,53.0,15.0,3967.0,3886.0,81.0,81.0,0.0,3952.0,81.0,81.0,0.0,0.0,0.0,0.0,3952.0,7742.0,1.0,3000.0,0.0,3967.0,0.0,0.0,0.0,0.0,0.0,3952.0,0.0,0.0,0.0,0.0,36.0,7706.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0
dpphys_pressure,torus3d_xbiased,0.05,8,3000,8,4,4,0,1.0,3,1,0,9600.0,9600.0,9471.0,1.0,0.9865625,0.0246640625,2.043501,46.593602,48.637103,3.047725,1505.0,504.0,15147.0,15001.0,146.0,164.0,18.0,15089.0,146.0,146.0,0.0,0.0,0.0,0.0,15107.0,13918.0,1.0,3000.0,0.0,15147.0,0.0,0.0,0.0,0.0,0.0,15107.0,0.0,0.0,0.0,0.0,821.0,13097.0,0.0,0.0,0.0,0.0,18.0,146.0,0.0,0.0,0.0,0.0
dpphys_pressure,torus3d_xbiased,0.08,8,3000,8,4,4,0,1.0,3,1,0,15360.0,15295.0,15040.0,0.9957682291666666,0.9833278849297156,0.03916666666666667,2.145346,48.154854,50.300199,3.125665,6346.0,2191.0,26097.0,25795.0,302.0,476.0,174.0,25829.0,302.0,302.0,0.0,0.0,0.0,0.0,26003.0,21297.0,1.0,3000.0,0.0,26097.0,0.0,0.0,0.0,0.0,0.0,26003.0,0.0,0.0,0.0,0.0,3307.0,17990.0,0.0,0.0,0.0,0.0,174.0,302.0,0.0,0.0,0.0,0.0
