mode,physical_vcs,pattern,injection_rate,link_latency,sim_cycles,torus_x,torus_y,torus_z,traffic_epoch_cycles,traffic_x_bias,traffic_x_hops,seed,deadlock,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,escape_hops,escape_transitions,pool_allocations,owned_pool_allocations,demand_reclaims,owner_migrations,release_handoffs,release_keeps,ownership_wait_starts,ownership_wait_completions,ownership_wait_cycles,ownership_wait_max,pool_write_blocks,pool_read_conflicts,pool_reads,reserved_reads,borrowed_peak,sim_ticks,pool_allocations_east,pool_allocations_west,pool_allocations_north,pool_allocations_south,pool_allocations_up,pool_allocations_down,pool_reads_east,pool_reads_west,pool_reads_north,pool_reads_south,pool_reads_up,pool_reads_down,reserved_reads_east,reserved_reads_west,reserved_reads_north,reserved_reads_south,reserved_reads_up,reserved_reads_down,migrations_to_east,migrations_to_west,migrations_to_north,migrations_to_south,migrations_to_up,migrations_to_down
private_v6,6,torus3d_xbiased,0.1,8,3000,8,4,4,0,1.0,3,1,0,19200.0,19055.0,18773.0,0.9924479166666667,0.9852007347152978,0.04888802083333333,2.001278,45.309594,47.310872,3.078837,5354.0,1861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v6,6,torus3d_xbiased,0.12,8,3000,8,4,4,0,1.0,3,1,0,23040.0,22959.0,22596.0,0.996484375,0.9841892068469881,0.05884375,2.005045,46.275934,48.280979,3.124624,9445.0,3168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v6,6,torus3d_xbiased,0.15,8,3000,8,4,4,0,1.0,3,1,0,28800.0,27811.0,27274.0,0.9656597222222222,0.9806910934522312,0.07102604166666666,5.388612,53.255848,58.64446,3.182591,16448.0,5492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v6,6,torus3d_xbiased,0.18,8,3000,8,4,4,0,1.0,3,1,0,34560.0,11297.0,9887.0,0.32688078703703705,0.8751881030362043,0.025747395833333332,328.155153,283.055022,611.210175,3.68494,19175.0,5704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v6,6,torus3d_xbiased,0.2,8,3000,8,4,4,0,1.0,3,1,0,38400.0,9832.0,8430.0,0.25604166666666667,0.8574043938161107,0.021953125,489.530486,348.182681,837.713167,3.804982,19061.0,5645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v6,6,torus3d_xbiased,0.25,8,3000,8,4,4,0,1.0,3,1,0,48000.0,8935.0,7536.0,0.18614583333333334,0.8434247341913822,0.019625,655.780918,401.103769,1056.884687,3.899947,18994.0,5624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_pressure_v6,6,torus3d_xbiased,0.1,8,3000,8,4,4,0,1.0,3,1,0,19200.0,19055.0,18768.0,0.9924479166666667,0.9849383363946471,0.048875,2.001172,46.655051,48.656223,3.03815,2447.0,855.0,25635.0,25422.0,213.0,302.0,89.0,25471.0,213.0,213.0,0.0,0.0,0.0,0.0,25560.0,31822.0,1.0,3000.0,0.0,25635.0,0.0,0.0,0.0,0.0,0.0,25560.0,0.0,0.0,0.0,0.0,1291.0,30531.0,0.0,0.0,0.0,0.0,89.0,213.0,0.0,0.0,0.0,0.0
dpphys_pressure_v6,6,torus3d_xbiased,0.12,8,3000,8,4,4,0,1.0,3,1,0,23040.0,22959.0,22580.0,0.996484375,0.9834923123829435,0.05880208333333333,2.004473,47.307927,49.3124,3.070151,5130.0,1767.0,33282.0,32991.0,291.0,457.0,166.0,33001.0,291.0,291.0,0.0,0.0,0.0,0.0,33167.0,36630.0,1.0,3000.0,0.0,33282.0,0.0,0.0,0.0,0.0,0.0,33167.0,0.0,0.0,0.0,0.0,2714.0,33916.0,0.0,0.0,0.0,0.0,166.0,291.0,0.0,0.0,0.0,0.0
dpphys_pressure_v6,6,torus3d_xbiased,0.15,8,3000,8,4,4,0,1.0,3,1,0,28800.0,28696.0,28218.0,0.9963888888888889,0.983342626149986,0.073484375,2.01492,48.814693,50.829612,3.111347,10481.0,3617.0,44177.0,43454.0,723.0,1323.0,600.0,43434.0,723.0,723.0,0.0,0.0,0.0,0.0,44034.0,44402.0,1.0,3000.0,0.0,44177.0,0.0,0.0,0.0,0.0,0.0,44034.0,0.0,0.0,0.0,0.0,5538.0,38864.0,0.0,0.0,0.0,0.0,600.0,723.0,0.0,0.0,0.0,0.0
dpphys_pressure_v6,6,torus3d_xbiased,0.18,8,3000,8,4,4,0,1.0,3,1,0,34560.0,25105.0,23829.0,0.7264178240740741,0.9491734714200358,0.0620546875,35.325654,78.844811,114.170465,3.208402,16578.0,5635.0,36873.0,35643.0,1230.0,2335.0,1105.0,35352.0,1230.0,1230.0,0.0,0.0,0.0,0.0,36457.0,40604.0,1.0,3000.0,0.0,36873.0,0.0,0.0,0.0,0.0,0.0,36457.0,0.0,0.0,0.0,0.0,10068.0,30536.0,0.0,0.0,0.0,0.0,1105.0,1230.0,0.0,0.0,0.0,0.0
dpphys_pressure_v6,6,torus3d_xbiased,0.2,8,3000,8,4,4,0,1.0,3,1,0,38400.0,11110.0,9555.0,0.28932291666666665,0.86003600360036,0.0248828125,342.157405,230.920774,573.078179,3.496285,16191.0,5185.0,11358.0,11019.0,339.0,550.0,211.0,10648.0,339.0,339.0,0.0,0.0,0.0,0.0,10859.0,23061.0,1.0,3000.0,0.0,11358.0,0.0,0.0,0.0,0.0,0.0,10859.0,0.0,0.0,0.0,0.0,11524.0,11537.0,0.0,0.0,0.0,0.0,211.0,339.0,0.0,0.0,0.0,0.0
dpphys_pressure_v6,6,torus3d_xbiased,0.25,8,3000,8,4,4,0,1.0,3,1,0,48000.0,9110.0,7561.0,0.18979166666666666,0.829967069154775,0.019690104166666667,591.80201,300.391879,892.19389,3.619759,16149.0,5150.0,7752.0,7511.0,241.0,354.0,113.0,7138.0,241.0,241.0,0.0,0.0,0.0,0.0,7251.0,20604.0,1.0,3000.0,0.0,7752.0,0.0,0.0,0.0,0.0,0.0,7251.0,0.0,0.0,0.0,0.0,11700.0,8904.0,0.0,0.0,0.0,0.0,113.0,241.0,0.0,0.0,0.0,0.0
dpphys_pressure_v6_full,6,torus3d_xbiased,0.1,8,3000,8,4,4,0,1.0,3,1,0,19200.0,19055.0,18777.0,0.9924479166666667,0.9854106533718184,0.0488984375,2.001172,46.218619,48.21979,3.003408,224.0,89.0,27146.0,26769.0,377.0,380.0,3.0,27062.0,377.0,377.0,0.0,0.0,0.0,0.0,27065.0,29644.0,3.0,3000.0,0.0,27146.0,0.0,0.0,0.0,0.0,0.0,27065.0,0.0,0.0,0.0,0.0,96.0,29548.0,0.0,0.0,0.0,0.0,3.0,377.0,0.0,0.0,0.0,0.0
