comparison,kind,pattern,baseline_mode,dp_mode,baseline_peak,dp_peak,gain_percent
A C=6,equal_storage,torus3d_xopposite,A1_cbs_v3,A2_dpcbs_v4_s2,0.264928125,0.3201859375,20.857661865836253
A C=6,equal_storage,torus3d_tornado,A1_cbs_v3,A2_dpcbs_v4_s2,0.4988796875,0.4988796875,0.0
A C=6,equal_storage,torus3d_transpose,A1_cbs_v3,A2_dpcbs_v4_s2,0.22735625,0.230490625,1.3786183577535231
A C=6,equal_storage,torus3d_neighbor,A1_cbs_v3,A2_dpcbs_v4_s2,0.4990796875,0.4990796875,0.0
A C=6,equal_storage,uniform_random,A1_cbs_v3,A2_dpcbs_v4_s2,0.4862,0.498815625,2.5947398190045172
A C=8,equal_storage,torus3d_xopposite,A3_cbs_v4,A4_dpcbs_v6_s4,0.4105734375,0.3993921875,-2.723325227292628
A C=8,equal_storage,torus3d_tornado,A3_cbs_v4,A4_dpcbs_v6_s4,0.4988796875,0.4988796875,0.0
A C=8,equal_storage,torus3d_transpose,A3_cbs_v4,A4_dpcbs_v6_s4,0.257509375,0.260984375,1.3494654320837856
A C=8,equal_storage,torus3d_neighbor,A3_cbs_v4,A4_dpcbs_v6_s4,0.4990796875,0.4990796875,0.0
A C=8,equal_storage,uniform_random,A3_cbs_v4,A4_dpcbs_v6_s4,0.4988265625,0.4988296875,0.0006264702473603171
B C=4,equal_storage,torus3d_xopposite,B1_esc_v2,B2_dpesc_v3_s2,0.1962109375,0.26898125,37.08779613776629
B C=4,equal_storage,torus3d_tornado,B1_esc_v2,B2_dpesc_v3_s2,0.195178125,0.3806640625,95.03418351826056
B C=4,equal_storage,torus3d_transpose,B1_esc_v2,B2_dpesc_v3_s2,0.195553125,0.3666578125,87.4978027070649
B C=4,equal_storage,torus3d_neighbor,B1_esc_v2,B2_dpesc_v3_s2,0.1968453125,0.3996015625,103.00283376064645
B C=4,equal_storage,uniform_random,B1_esc_v2,B2_dpesc_v3_s2,0.1954296875,0.3823921875,95.66739956026383
B C=6,equal_storage,torus3d_xopposite,B3_esc_v3,B4_dpesc_v5_s4,0.3989578125,0.484046875,21.327834631637895
B C=6,equal_storage,torus3d_tornado,B3_esc_v3,B4_dpesc_v5_s4,0.3806640625,0.4987984375,31.033760903027197
B C=6,equal_storage,torus3d_transpose,B3_esc_v3,B4_dpesc_v5_s4,0.3862328125,0.4988578125,29.15987361897171
B C=6,equal_storage,torus3d_neighbor,B3_esc_v3,B4_dpesc_v5_s4,0.3996015625,0.4990796875,24.8943283348648
B C=6,equal_storage,uniform_random,B3_esc_v3,B4_dpesc_v5_s4,0.38819375,0.498834375,28.501392667965415
B C=8,equal_storage,torus3d_xopposite,B5_esc_v4,B6_dpesc_v7_s6,0.498978125,0.4989796875,0.0003131399798330555
B C=8,equal_storage,torus3d_tornado,B5_esc_v4,B6_dpesc_v7_s6,0.4987984375,0.4988015625,0.0006265055711993317
B C=8,equal_storage,torus3d_transpose,B5_esc_v4,B6_dpesc_v7_s6,0.498859375,0.4988640625,0.0009396435618733386
B C=8,equal_storage,torus3d_neighbor,B5_esc_v4,B6_dpesc_v7_s6,0.4990796875,0.4990796875,0.0
B C=8,equal_storage,uniform_random,B5_esc_v4,B6_dpesc_v7_s6,0.498834375,0.498834375,0.0
A vcs=4,equal_vcs,torus3d_xopposite,A3_cbs_v4,A2_dpcbs_v4_s2,0.4105734375,0.3201859375,-22.014940993351527
A vcs=4,equal_vcs,torus3d_tornado,A3_cbs_v4,A2_dpcbs_v4_s2,0.4988796875,0.4988796875,0.0
A vcs=4,equal_vcs,torus3d_transpose,A3_cbs_v4,A2_dpcbs_v4_s2,0.257509375,0.230490625,-10.492336444061495
A vcs=4,equal_vcs,torus3d_neighbor,A3_cbs_v4,A2_dpcbs_v4_s2,0.4990796875,0.4990796875,0.0
A vcs=4,equal_vcs,uniform_random,A3_cbs_v4,A2_dpcbs_v4_s2,0.4988265625,0.498815625,-0.002192645865772238
B vcs=3,equal_vcs,torus3d_xopposite,B3_esc_v3,B2_dpesc_v3_s2,0.3989578125,0.26898125,-32.57902425460085
B vcs=3,equal_vcs,torus3d_tornado,B3_esc_v3,B2_dpesc_v3_s2,0.3806640625,0.3806640625,0.0
B vcs=3,equal_vcs,torus3d_transpose,B3_esc_v3,B2_dpesc_v3_s2,0.3862328125,0.3666578125,-5.068186691155352
B vcs=3,equal_vcs,torus3d_neighbor,B3_esc_v3,B2_dpesc_v3_s2,0.3996015625,0.3996015625,0.0
B vcs=3,equal_vcs,uniform_random,B3_esc_v3,B2_dpesc_v3_s2,0.38819375,0.3823921875,-1.4945017790729562
B vcs=4/5,equal_vcs,torus3d_xopposite,B5_esc_v4,B4_dpesc_v5_s4,0.498978125,0.484046875,-2.992365647291654
B vcs=4/5,equal_vcs,torus3d_tornado,B5_esc_v4,B4_dpesc_v5_s4,0.4987984375,0.4987984375,0.0
B vcs=4/5,equal_vcs,torus3d_transpose,B5_esc_v4,B4_dpesc_v5_s4,0.498859375,0.4988578125,-0.0003132145206244462
B vcs=4/5,equal_vcs,torus3d_neighbor,B5_esc_v4,B4_dpesc_v5_s4,0.4990796875,0.4990796875,0.0
B vcs=4/5,equal_vcs,uniform_random,B5_esc_v4,B4_dpesc_v5_s4,0.498834375,0.498834375,0.0
