mode,pattern,injection_rate,vcs_per_vnet,sim_cycles,deadlock,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,cbs_entry_blocks,cbs_mark_moves,dp_pool_blocks,dp_shared_grants,escape_hops,escape_transitions,sim_ticks
A1_cbs_v3,torus3d_xopposite,0.05,3,10000,0,16000.0,15968.0,15954.0,0.998,0.999123246492986,0.024928125,2.0,7.050771,9.050771,2.0,29.0,20.0,0.0,0.0,0.0,0.0,10000.0
A1_cbs_v3,torus3d_xopposite,0.1,3,10000,0,32000.0,31948.0,31916.0,0.998375,0.998998372355077,0.04986875,2.000031,7.103898,9.103929,2.0,188.0,160.0,0.0,0.0,0.0,0.0,10000.0
A1_cbs_v3,torus3d_xopposite,0.15,3,10000,0,48000.0,47760.0,47718.0,0.995,0.9991206030150753,0.074559375,2.000063,7.165849,9.165912,2.0,747.0,540.0,0.0,0.0,0.0,0.0,10000.0
A1_cbs_v3,torus3d_xopposite,0.2,3,10000,0,64000.0,63806.0,63750.0,0.99696875,0.9991223395918879,0.099609375,2.000204,7.238667,9.238871,2.0,1939.0,1291.0,0.0,0.0,0.0,0.0,10000.0
A1_cbs_v3,torus3d_xopposite,0.25,3,10000,0,80000.0,79713.0,79645.0,0.9964125,0.99914693964598,0.1244453125,2.000979,7.32066,9.32164,2.0,3835.0,2463.0,0.0,0.0,0.0,0.0,10000.0
A1_cbs_v3,torus3d_xopposite,0.3,3,10000,0,96000.0,95810.0,95728.0,0.9980208333333334,0.9991441394426469,0.149575,2.002016,7.418164,9.42018,2.0,6675.0,4458.0,0.0,0.0,0.0,0.0,10000.0
A1_cbs_v3,torus3d_xopposite,0.35,3,10000,0,112000.0,111703.0,111612.0,0.9973482142857143,0.9991853396954424,0.17439375,2.005483,7.545004,9.550487,2.0,11168.0,7009.0,0.0,0.0,0.0,0.0,10000.0
A1_cbs_v3,torus3d_xopposite,0.4,3,10000,0,128000.0,127637.0,127525.0,0.9971640625,0.9991225114974498,0.1992578125,2.014029,7.716785,9.730814,2.0,17833.0,10614.0,0.0,0.0,0.0,0.0,10000.0
A1_cbs_v3,torus3d_xopposite,0.45,3,10000,0,144000.0,143553.0,143430.0,0.9968958333333333,0.9991431736013876,0.224109375,2.033445,7.940201,9.973646,2.0,27256.0,15913.0,0.0,0.0,0.0,0.0,10000.0
A1_cbs_v3,torus3d_xopposite,0.5,3,10000,0,160000.0,159451.0,159309.0,0.99656875,0.9991094442806882,0.2489203125,2.111306,8.329498,10.440804,2.0,43352.0,24148.0,0.0,0.0,0.0,0.0,10000.0
A1_cbs_v3,torus3d_xopposite,0.55,3,10000,0,176000.0,169799.0,169554.0,0.9647670454545455,0.9985571175330832,0.264928125,115.211726,12.166661,127.378387,2.0,115175.0,58718.0,0.0,0.0,0.0,0.0,10000.0
A1_cbs_v3,torus3d_xopposite,0.6,3,10000,0,192000.0,161722.0,161420.0,0.8423020833333333,0.9981325979149405,0.25221875,727.134989,16.898996,744.033986,2.0,185944.0,92904.0,0.0,0.0,0.0,0.0,10000.0
A1_cbs_v3,torus3d_xopposite,0.65,3,10000,0,208000.0,160809.0,160498.0,0.7731201923076924,0.9980660286426755,0.250778125,1101.043483,16.83244,1117.875924,2.0,209142.0,104482.0,0.0,0.0,0.0,0.0,10000.0
A1_cbs_v3,torus3d_xopposite,0.7,3,10000,0,224000.0,160476.0,160175.0,0.7164107142857142,0.9981243301178992,0.2502734375,1396.281717,17.169677,1413.451394,2.0,199739.0,99778.0,0.0,0.0,0.0,0.0,10000.0
A1_cbs_v3,torus3d_xopposite,0.75,3,10000,0,240000.0,170987.0,170690.0,0.7124458333333333,0.99826302584407,0.266703125,1364.225344,16.376413,1380.601758,2.0,174856.0,87545.0,0.0,0.0,0.0,0.0,10000.0
A1_cbs_v3,torus3d_xopposite,0.8,3,10000,0,256000.0,166978.0,166679.0,0.6522578125,0.9982093449436452,0.2604359375,1688.404922,16.619184,1705.024106,2.0,199757.0,99811.0,0.0,0.0,0.0,0.0,10000.0
A1_cbs_v3,torus3d_xopposite,0.85,3,10000,0,272000.0,163616.0,163315.0,0.6015294117647059,0.9981603266184236,0.2551796875,1959.114448,17.096819,1976.211267,2.0,189903.0,94884.0,0.0,0.0,0.0,0.0,10000.0
A1_cbs_v3,torus3d_xopposite,0.9,3,10000,0,288000.0,160311.0,160011.0,0.5566354166666667,0.9981286374609353,0.2500171875,2199.935454,17.772422,2217.707876,2.0,170034.0,84942.0,0.0,0.0,0.0,0.0,10000.0
A1_cbs_v3,torus3d_xopposite,0.95,3,10000,0,304000.0,160263.0,159964.0,0.5271809210526316,0.9981343167168966,0.24994375,2350.42839,17.033376,2367.461766,2.0,209931.0,104931.0,0.0,0.0,0.0,0.0,10000.0
A1_cbs_v3,torus3d_xopposite,1.0,3,10000,0,320000.0,160192.0,159888.0,0.5006,0.9981022772672793,0.249825,2485.509719,14.987992,2500.497711,2.0,319648.0,159840.0,0.0,0.0,0.0,0.0,10000.0
A2_dpcbs_v4_s2,torus3d_xopposite,0.05,4,10000,0,16000.0,15968.0,15954.0,0.998,0.999123246492986,0.024928125,2.0,7.049016,9.049016,2.0,1.0,0.0,0.0,31773.0,0.0,0.0,10000.0
A2_dpcbs_v4_s2,torus3d_xopposite,0.1,4,10000,0,32000.0,31948.0,31916.0,0.998375,0.998998372355077,0.04986875,2.0,7.096347,9.096347,2.0,8.0,2.0,0.0,62742.0,0.0,0.0,10000.0
A2_dpcbs_v4_s2,torus3d_xopposite,0.15,4,10000,0,48000.0,47760.0,47718.0,0.995,0.9991206030150753,0.074559375,2.0,7.144411,9.144411,2.0,28.0,10.0,0.0,91711.0,0.0,0.0,10000.0
A2_dpcbs_v4_s2,torus3d_xopposite,0.2,4,10000,0,64000.0,63806.0,63750.0,0.99696875,0.9991223395918879,0.099609375,2.0,7.194541,9.194541,2.0,83.0,28.0,0.0,119172.0,0.0,0.0,10000.0
A2_dpcbs_v4_s2,torus3d_xopposite,0.25,4,10000,0,80000.0,79713.0,79645.0,0.9964125,0.99914693964598,0.1244453125,2.0,7.245414,9.245414,2.0,199.0,82.0,0.0,144213.0,0.0,0.0,10000.0
A2_dpcbs_v4_s2,torus3d_xopposite,0.3,4,10000,0,96000.0,95810.0,95730.0,0.9980208333333334,0.9991650140903873,0.149578125,2.0,7.299509,9.299509,2.0,450.0,225.0,0.0,167098.0,0.0,0.0,10000.0
A2_dpcbs_v4_s2,torus3d_xopposite,0.35,4,10000,0,112000.0,111703.0,111615.0,0.9973482142857143,0.9992121966285596,0.1743984375,2.0,7.358034,9.358034,2.0,797.0,440.0,0.0,187160.0,0.0,0.0,10000.0
A2_dpcbs_v4_s2,torus3d_xopposite,0.4,4,10000,0,128000.0,127637.0,127531.0,0.9971640625,0.9991695198100864,0.1992671875,2.0,7.426085,9.426085,2.0,1516.0,782.0,0.0,204888.0,0.0,0.0,10000.0
A2_dpcbs_v4_s2,torus3d_xopposite,0.45,4,10000,0,144000.0,143553.0,143440.0,0.9968958333333333,0.9992128342842016,0.224125,2.0,7.499442,9.499442,2.0,2591.0,1338.0,0.0,220710.0,0.0,0.0,10000.0
A2_dpcbs_v4_s2,torus3d_xopposite,0.5,4,10000,0,160000.0,159452.0,159325.0,0.996575,0.999203522063066,0.2489453125,2.000038,7.594301,9.594339,2.0,4140.0,2236.0,0.0,233954.0,0.0,0.0,10000.0
A2_dpcbs_v4_s2,torus3d_xopposite,0.55,4,10000,0,176000.0,175634.0,175493.0,0.9979204545454545,0.9991971941651389,0.2742078125,2.000524,7.727585,9.728109,2.0,7007.0,3411.0,0.0,245400.0,0.0,0.0,10000.0
A2_dpcbs_v4_s2,torus3d_xopposite,0.6,4,10000,0,192000.0,191507.0,191337.0,0.9974322916666667,0.9991123039888882,0.2989640625,2.00207,7.930259,9.932329,2.0,11280.0,5178.0,0.0,254263.0,0.0,0.0,10000.0
A2_dpcbs_v4_s2,torus3d_xopposite,0.65,4,10000,0,208000.0,205110.0,204919.0,0.9861057692307692,0.9990687923553215,0.3201859375,39.922823,8.772588,48.695411,2.0,30567.0,7335.0,0.0,253236.0,0.0,0.0,10000.0
A2_dpcbs_v4_s2,torus3d_xopposite,0.7,4,10000,0,224000.0,187569.0,187173.0,0.8373616071428571,0.9978887769300897,0.2924578125,517.813777,15.997056,533.810833,2.0,198350.0,20695.0,0.0,181395.0,0.0,0.0,10000.0
A2_dpcbs_v4_s2,torus3d_xopposite,0.75,4,10000,0,240000.0,185873.0,185468.0,0.7744708333333333,0.9978210928967628,0.28979375,983.10191,18.267982,1001.369891,2.0,235887.0,21379.0,0.0,183665.0,0.0,0.0,10000.0
A2_dpcbs_v4_s2,torus3d_xopposite,0.8,4,10000,0,256000.0,178357.0,177952.0,0.69670703125,0.9977292733113923,0.27805,1393.607861,18.789837,1412.397697,2.0,241445.0,14979.0,0.0,159856.0,0.0,0.0,10000.0
A2_dpcbs_v4_s2,torus3d_xopposite,0.85,4,10000,0,272000.0,182431.0,182026.0,0.670702205882353,0.997779982568752,0.284415625,1543.816043,18.839918,1562.655961,2.0,250180.0,20407.0,0.0,153414.0,0.0,0.0,10000.0
A2_dpcbs_v4_s2,torus3d_xopposite,0.9,4,10000,0,288000.0,183884.0,183475.0,0.6384861111111111,0.9977757716821475,0.2866796875,1705.927516,18.308979,1724.236495,2.0,285193.0,51252.0,0.0,144272.0,0.0,0.0,10000.0
A2_dpcbs_v4_s2,torus3d_xopposite,0.95,4,10000,0,304000.0,177061.0,176645.0,0.5824375,0.9976505272194328,0.2760078125,1947.166588,18.143712,1965.3103,2.0,343214.0,80841.0,0.0,102581.0,0.0,0.0,10000.0
A2_dpcbs_v4_s2,torus3d_xopposite,1.0,4,10000,0,320000.0,161344.0,160912.0,0.5042,0.9973224910749703,0.251425,2432.898205,17.945312,2450.843517,2.0,474896.0,157696.0,0.0,4032.0,0.0,0.0,10000.0
A3_cbs_v4,torus3d_xopposite,0.05,4,10000,0,16000.0,15968.0,15954.0,0.998,0.999123246492986,0.024928125,2.0,7.049016,9.049016,2.0,1.0,0.0,0.0,0.0,0.0,0.0,10000.0
