mode,pattern,injection_rate,packets_injected,packets_received,injection_acceptance,throughput,packet_latency,dp_shared_grants,dp_pool_blocks,escape_transitions
A2_dpcbs_v4_r2_S1,torus3d_xopposite,0.45,143553,143431,0.9969,0.2241,10.22,126945,71922,0
A2_dpcbs_v4_r2_S1,torus3d_xopposite,0.55,160945,160595,0.9145,0.2509,406.54,95577,1163808,0
A2_dpcbs_v4_r2_S1,torus3d_xopposite,0.60,160489,160141,0.8359,0.2502,809.89,98787,1167419,0
A2_dpcbs_v4_r2_S1,torus3d_xopposite,0.65,160431,160079,0.7713,0.2501,1139.65,99536,1181858,0
A2_dpcbs_v4_r2_S1,torus3d_xopposite,0.70,160400,160040,0.7161,0.2501,1419.10,98537,1187329,0
A2_dpcbs_v4_r2_S1,torus3d_xopposite,0.80,165253,164899,0.6455,0.2577,1735.30,103398,1142341,0
B2_dpesc_v3_S1,torus3d_neighbor,0.35,111701,111631,0.9973,0.1744,7.44,80878,0,30796
B2_dpesc_v3_S1,torus3d_neighbor,0.45,143550,143460,0.9969,0.2242,7.63,95190,0,48329
B2_dpesc_v3_S1,torus3d_neighbor,0.55,175631,175519,0.9979,0.2742,7.91,107085,0,68509
B2_dpesc_v3_S1,torus3d_neighbor,0.65,207634,207511,0.9982,0.3242,8.50,116750,0,90844
B2_dpesc_v3_S1,torus3d_neighbor,0.75,239580,239426,0.9982,0.3741,11.10,124490,0,115044
B2_dpesc_v3_S1,torus3d_neighbor,0.85,255904,255735,0.9408,0.3996,298.66,127971,0,127878
B2_dpesc_v3_S1,torus3d_tornado,0.35,111700,111577,0.9973,0.1743,12.41,262856,0,49096
B2_dpesc_v3_S1,torus3d_tornado,0.45,143550,143375,0.9969,0.2240,13.38,305965,0,78516
B2_dpesc_v3_S1,torus3d_tornado,0.55,175622,175390,0.9979,0.2740,15.41,337816,0,110742
B2_dpesc_v3_S1,torus3d_tornado,0.65,190441,190034,0.9156,0.2969,417.21,313549,0,141540
B2_dpesc_v3_S1,torus3d_tornado,0.75,190200,189808,0.7925,0.2966,1039.03,312202,0,141878
B2_dpesc_v3_S1,torus3d_tornado,0.85,190079,189676,0.6988,0.2964,1507.29,312117,0,141885
