mode,pattern,injection_rate,vcs_per_vnet,sim_cycles,deadlock,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,cbs_entry_blocks,cbs_mark_moves,dp_pool_blocks,dp_shared_grants,escape_hops,escape_transitions,sim_ticks
B2_dpesc_v3_s2_global,torus3d_xopposite,0.05,3,10000,0,16000.0,15968.0,15954.0,0.998,0.999123246492986,0.024928125,2.003009,7.02432,9.027329,2.0,0.0,0.0,0.0,31923.0,0.0,0.0,10000.0
B2_dpesc_v3_s2_global,torus3d_xopposite,0.1,3,10000,0,32000.0,31948.0,31916.0,0.998375,0.998998372355077,0.04986875,2.010841,7.051103,9.061944,2.000188,0.0,0.0,0.0,63857.0,19.0,13.0,10000.0
B2_dpesc_v3_s2_global,torus3d_xopposite,0.15,3,10000,0,48000.0,47760.0,47718.0,0.995,0.9991206030150753,0.074559375,2.024854,7.075485,9.100339,2.000671,0.0,0.0,0.0,95423.0,95.0,63.0,10000.0
B2_dpesc_v3_s2_global,torus3d_xopposite,0.2,3,10000,0,64000.0,63805.0,63750.0,0.996953125,0.9991379985894523,0.099609375,2.046494,7.101396,9.14789,2.001349,0.0,0.0,0.0,127391.0,259.0,171.0,10000.0
B2_dpesc_v3_s2_global,torus3d_xopposite,0.25,3,10000,0,80000.0,79712.0,79646.0,0.9964,0.9991720192693697,0.124446875,2.072408,7.125769,9.198177,2.002536,0.0,0.0,0.0,158935.0,639.0,431.0,10000.0
B2_dpesc_v3_s2_global,torus3d_xopposite,0.3,3,10000,0,96000.0,95809.0,95731.0,0.9980104166666667,0.9991858802408959,0.1495796875,2.107959,7.150839,9.258798,2.004157,0.0,0.0,0.0,190653.0,1297.0,876.0,10000.0
B2_dpesc_v3_s2_global,torus3d_xopposite,0.35,3,10000,0,112000.0,111701.0,111617.0,0.9973303571428571,0.9992479924083043,0.1744015625,2.154278,7.178226,9.332503,2.007221,0.0,0.0,0.0,221698.0,2437.0,1593.0,10000.0
B2_dpesc_v3_s2_global,torus3d_xopposite,0.4,3,10000,0,128000.0,127635.0,127531.0,0.9971484375,0.9991851764798056,0.1992671875,2.215979,7.202578,9.418557,2.009488,0.0,0.0,0.0,252514.0,3886.0,2585.0,10000.0
B2_dpesc_v3_s2_global,torus3d_xopposite,0.45,3,10000,0,144000.0,143549.0,143438.0,0.9968680555555556,0.9992267448745724,0.224121875,2.300555,7.228336,9.528891,2.013553,0.0,0.0,0.0,282864.0,6089.0,4002.0,10000.0
B2_dpesc_v3_s2_global,torus3d_xopposite,0.5,3,10000,0,160000.0,159449.0,159320.0,0.99655625,0.9991909638818682,0.2489375,2.416985,7.253107,9.670092,2.016821,0.0,0.0,0.0,312681.0,8795.0,5870.0,10000.0
