mode,pattern,injection_rate,vcs_per_vnet,sim_cycles,deadlock,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,cbs_entry_blocks,cbs_mark_moves,dp_pool_blocks,dp_shared_grants,escape_hops,escape_transitions,sim_ticks
B2_dpesc_v3_s2_global,torus3d_xopposite,0.05,7,10000,0,16000.0,15968.0,15954.0,0.998,0.999123246492986,0.024928125,2.0,7.025574,9.025574,2.0,0.0,0.0,0.0,31923.0,0.0,0.0,10000.0
B2_dpesc_v3_s2_global,torus3d_xopposite,0.1,7,10000,0,32000.0,31948.0,31916.0,0.998375,0.998998372355077,0.04986875,2.0,7.051166,9.051166,2.0,0.0,0.0,0.0,63870.0,0.0,0.0,10000.0
B2_dpesc_v3_s2_global,torus3d_xopposite,0.15,7,10000,0,48000.0,47760.0,47718.0,0.995,0.9991206030150753,0.074559375,2.0,7.076743,9.076743,2.0,0.0,0.0,0.0,95486.0,0.0,0.0,10000.0
B2_dpesc_v3_s2_global,torus3d_xopposite,0.2,7,10000,0,64000.0,63806.0,63750.0,0.99696875,0.9991223395918879,0.099609375,2.0,7.106886,9.106886,2.0,0.0,0.0,0.0,127565.0,0.0,0.0,10000.0
B2_dpesc_v3_s2_global,torus3d_xopposite,0.25,7,10000,0,80000.0,79713.0,79646.0,0.9964125,0.9991594846511861,0.124446875,2.0,7.132737,9.132737,2.0,0.0,0.0,0.0,159373.0,0.0,0.0,10000.0
B2_dpesc_v3_s2_global,torus3d_xopposite,0.3,7,10000,0,96000.0,95810.0,95731.0,0.9980208333333334,0.9991754514142573,0.1495796875,2.0,7.160011,9.160011,2.0,0.0,0.0,0.0,191554.0,0.0,0.0,10000.0
B2_dpesc_v3_s2_global,torus3d_xopposite,0.35,7,10000,0,112000.0,111703.0,111617.0,0.9973482142857143,0.9992301012506378,0.1744015625,2.0,7.188278,9.188278,2.0,0.0,0.0,0.0,223331.0,0.0,0.0,10000.0
B2_dpesc_v3_s2_global,torus3d_xopposite,0.4,7,10000,0,128000.0,127637.0,127534.0,0.9971640625,0.9991930239664047,0.199271875,2.0,7.214351,9.214351,2.0,0.0,0.0,0.0,255194.0,0.0,0.0,10000.0
B2_dpesc_v3_s2_global,torus3d_xopposite,0.45,7,10000,0,144000.0,143553.0,143440.0,0.9968958333333333,0.9992128342842016,0.224125,2.0,7.241125,9.241125,2.0,0.0,0.0,0.0,287016.0,0.0,0.0,10000.0
B2_dpesc_v3_s2_global,torus3d_xopposite,0.5,7,10000,0,160000.0,159452.0,159326.0,0.996575,0.9992097935428844,0.248946875,2.0,7.267646,9.267646,2.0,0.0,0.0,0.0,318802.0,0.0,0.0,10000.0
