mode,pattern,injection_rate,vcs_per_vnet,sim_cycles,deadlock,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,cbs_entry_blocks,cbs_mark_moves,dp_pool_blocks,dp_shared_grants,escape_hops,escape_transitions,sim_ticks
B2_dpesc_v3_s2_per_dimension,torus3d_xopposite,0.05,3,100,0,160.0,159.0,141.0,0.99375,0.8867924528301887,0.02203125,2.0,7.092199,9.092199,2.028369,0.0,0.0,0.0,295.0,6.0,2.0,100.0
B2_dpesc_v3_s2_per_dimension,torus3d_xopposite,0.15,3,100,0,480.0,486.0,440.0,1.0125,0.9053497942386831,0.06875,2.027273,7.129545,9.156818,2.018182,0.0,0.0,0.0,896.0,44.0,32.0,100.0
B2_dpesc_v3_s2_per_dimension,torus3d_xopposite,0.25,3,100,0,800.0,802.0,724.0,1.0025,0.9027431421446384,0.113125,2.073204,7.273481,9.346685,2.052486,0.0,0.0,0.0,1409.0,170.0,110.0,100.0
B2_dpesc_v3_s2_per_dimension,torus3d_xopposite,0.35,3,100,0,1120.0,1112.0,1011.0,0.9928571428571429,0.9091726618705036,0.15796875,2.14639,7.502473,9.648863,2.083086,0.0,0.0,0.0,1820.0,421.0,277.0,100.0
B2_dpesc_v3_s2_per_dimension,torus3d_xopposite,0.45,3,100,0,1440.0,1419.0,1286.0,0.9854166666666667,0.9062720225510923,0.2009375,2.301711,7.918351,10.220062,2.11353,0.0,0.0,0.0,2132.0,771.0,497.0,100.0
B4_dpesc_v5_s4_per_dimension,torus3d_xopposite,0.05,5,100,0,160.0,159.0,141.0,0.99375,0.8867924528301887,0.02203125,2.0,7.028369,9.028369,2.0,0.0,0.0,0.0,297.0,0.0,0.0,100.0
B4_dpesc_v5_s4_per_dimension,torus3d_xopposite,0.15,5,100,0,480.0,486.0,441.0,1.0125,0.9074074074074074,0.06890625,2.0,7.095238,9.095238,2.0,0.0,0.0,0.0,930.0,0.0,0.0,100.0
B4_dpesc_v5_s4_per_dimension,torus3d_xopposite,0.25,5,100,0,800.0,802.0,724.0,1.0025,0.9027431421446384,0.113125,2.0,7.150552,9.150552,2.0,0.0,0.0,0.0,1538.0,1.0,1.0,100.0
B4_dpesc_v5_s4_per_dimension,torus3d_xopposite,0.35,5,100,0,1120.0,1113.0,1017.0,0.99375,0.9137466307277629,0.15890625,2.0,7.174041,9.174041,2.0,0.0,0.0,0.0,2154.0,0.0,0.0,100.0
B4_dpesc_v5_s4_per_dimension,torus3d_xopposite,0.45,5,100,0,1440.0,1424.0,1298.0,0.9888888888888889,0.9115168539325843,0.2028125,2.0,7.251926,9.251926,2.004622,0.0,0.0,0.0,2752.0,15.0,9.0,100.0
B6_dpesc_v7_s6_per_dimension,torus3d_xopposite,0.05,7,100,0,160.0,159.0,141.0,0.99375,0.8867924528301887,0.02203125,2.0,7.028369,9.028369,2.0,0.0,0.0,0.0,297.0,0.0,0.0,100.0
