mode,pattern,injection_rate,vcs_per_vnet,sim_cycles,deadlock,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,cbs_entry_blocks,cbs_mark_moves,dp_pool_blocks,dp_shared_grants,escape_hops,escape_transitions,sim_ticks
B2_dpesc_v3_s2_per_dimension,torus3d_xopposite,0.05,3,10000,0,16000.0,15968.0,15954.0,0.998,0.999123246492986,0.024928125,2.003009,7.030463,9.033471,2.002382,0.0,0.0,0.0,31857.0,104.0,65.0,10000.0
B2_dpesc_v3_s2_per_dimension,torus3d_xopposite,0.1,3,10000,0,32000.0,31948.0,31916.0,0.998375,0.998998372355077,0.04986875,2.010716,7.070247,9.080963,2.009274,0.0,0.0,0.0,63261.0,905.0,588.0,10000.0
B2_dpesc_v3_s2_per_dimension,torus3d_xopposite,0.15,3,10000,0,48000.0,47760.0,47718.0,0.995,0.9991206030150753,0.074559375,2.024896,7.126514,9.15141,2.022004,0.0,0.0,0.0,93101.0,3434.0,2187.0,10000.0
B2_dpesc_v3_s2_per_dimension,torus3d_xopposite,0.2,3,10000,0,64000.0,63805.0,63750.0,0.996953125,0.9991379985894523,0.099609375,2.046698,7.189537,9.236235,2.036016,0.0,0.0,0.0,121551.0,8309.0,5344.0,10000.0
B2_dpesc_v3_s2_per_dimension,torus3d_xopposite,0.25,3,10000,0,80000.0,79712.0,79644.0,0.9964,0.9991469289441991,0.12444375,2.073264,7.273153,9.346417,2.054066,0.0,0.0,0.0,147400.0,16282.0,10311.0,10000.0
B2_dpesc_v3_s2_per_dimension,torus3d_xopposite,0.3,3,10000,0,96000.0,95809.0,95730.0,0.9980104166666667,0.9991754428080869,0.149578125,2.110927,7.376131,9.487057,2.072475,0.0,0.0,0.0,170834.0,27658.0,17467.0,10000.0
B2_dpesc_v3_s2_per_dimension,torus3d_xopposite,0.35,3,10000,0,112000.0,111701.0,111614.0,0.9973303571428571,0.9992211349943152,0.174396875,2.163385,7.510259,9.673643,2.09153,0.0,0.0,0.0,190902.0,42648.0,26821.0,10000.0
B2_dpesc_v3_s2_per_dimension,torus3d_xopposite,0.4,3,10000,0,128000.0,127634.0,127524.0,0.997140625,0.9991381606781892,0.19925625,2.240253,7.688741,9.928994,2.109125,0.0,0.0,0.0,208139.0,60964.0,38185.0,10000.0
B2_dpesc_v3_s2_per_dimension,torus3d_xopposite,0.45,3,10000,0,144000.0,143550.0,143425.0,0.996875,0.9991292232671543,0.2241015625,2.374823,7.95095,10.325773,2.121903,0.0,0.0,0.0,222777.0,81728.0,51208.0,10000.0
B2_dpesc_v3_s2_per_dimension,torus3d_xopposite,0.5,3,10000,0,160000.0,159443.0,159292.0,0.99651875,0.9990529530929548,0.24889375,5.024006,8.56817,13.592177,2.132423,0.0,0.0,0.0,232975.0,106894.0,67076.0,10000.0
