config,pattern,rate,pd_throughput,global_throughput,throughput_delta_pct,pd_latency,global_latency,latency_delta_pct,pd_pool_blocks,global_pool_blocks,pd_deadlock,global_deadlock
B2_dpesc_v3_s2,torus3d_neighbor,0.05,0.0249328125,0.0249328125,0.0,7.002945,7.002945,0.0,0,0,0,0
B2_dpesc_v3_s2,torus3d_neighbor,0.1,0.04988125,0.04988125,0.0,7.010462,7.010462,0.0,0,0,0,0
B2_dpesc_v3_s2,torus3d_neighbor,0.15,0.0745765625,0.0745765625,0.0,7.023927,7.023927,0.0,0,0,0,0
B2_dpesc_v3_s2,torus3d_neighbor,0.2,0.0996296875,0.0996296875,0.0,7.044226,7.044226,0.0,0,0,0,0
B2_dpesc_v3_s2,torus3d_neighbor,0.25,0.124471875,0.124471875,0.0,7.06815,7.06815,0.0,0,0,0,0
B2_dpesc_v3_s2,torus3d_neighbor,0.3,0.1496109375,0.1496109375,0.0,7.100563,7.100563,0.0,0,0,0,0
B2_dpesc_v3_s2,torus3d_neighbor,0.35,0.1744328125,0.1744328125,0.0,7.140849,7.140849,0.0,0,0,0,0
B2_dpesc_v3_s2,torus3d_neighbor,0.4,0.1993125,0.1993125,0.0,7.194693,7.194693,0.0,0,0,0,0
B2_dpesc_v3_s2,torus3d_neighbor,0.45,0.22416875,0.22416875,0.0,7.266331,7.266331,0.0,0,0,0,0
B2_dpesc_v3_s2,torus3d_neighbor,0.5,0.2489953125,0.2489953125,0.0,7.361616,7.361616,0.0,0,0,0,0
B2_dpesc_v3_s2,torus3d_tornado,0.05,0.0249203125,0.0249203125,0.0,11.049031,11.049031,0.0,0,0,0,0
B2_dpesc_v3_s2,torus3d_tornado,0.1,0.04985,0.04985,0.0,11.101523,11.101523,0.0,0,0,0,0
B2_dpesc_v3_s2,torus3d_tornado,0.15,0.0745328125,0.0745328125,0.0,11.162806,11.162806,0.0,0,0,0,0
B2_dpesc_v3_s2,torus3d_tornado,0.2,0.099578125,0.099578125,0.0,11.232559,11.232559,0.0,0,0,0,0
B2_dpesc_v3_s2,torus3d_tornado,0.25,0.1244109375,0.1244109375,0.0,11.308215,11.308215,0.0,0,0,0,0
B2_dpesc_v3_s2,torus3d_tornado,0.3,0.14954375,0.14954375,0.0,11.396257,11.396257,0.0,0,0,0,0
B2_dpesc_v3_s2,torus3d_tornado,0.35,0.174359375,0.174359375,0.0,11.505941,11.505941,0.0,0,0,0,0
B2_dpesc_v3_s2,torus3d_tornado,0.4,0.19921875,0.19921875,0.0,11.638431,11.638431,0.0,0,0,0,0
B2_dpesc_v3_s2,torus3d_tornado,0.45,0.224065625,0.224065625,0.0,11.806886,11.806886,0.0,0,0,0,0
B2_dpesc_v3_s2,torus3d_tornado,0.5,0.2488796875,0.2488796875,0.0,12.023675,12.023675,0.0,0,0,0,0
B2_dpesc_v3_s2,torus3d_transpose,0.05,0.0249203125,0.0249203125,0.0,11.045645,11.04715,0.01362527946533465,0,0,0,0
B2_dpesc_v3_s2,torus3d_transpose,0.1,0.049853125,0.049853125,0.0,11.090516,11.086786,-0.033632339559308555,0,0,0,0
B2_dpesc_v3_s2,torus3d_transpose,0.15,0.0745359375,0.0745359375,0.0,11.134688,11.122424,-0.11014228687862282,0,0,0,0
B2_dpesc_v3_s2,torus3d_transpose,0.2,0.099578125,0.0995796875,0.0015691197238210108,11.203562,11.176806,-0.23881690483794626,0,0,0,0
B2_dpesc_v3_s2,torus3d_transpose,0.25,0.1244125,0.1244140625,0.001255902742891557,11.293856,11.236835,-0.504885134005606,0,0,0,0
B2_dpesc_v3_s2,torus3d_transpose,0.3,0.14954375,0.1495453125,0.0010448447360644764,11.387972,11.296973,-0.7990799415383165,0,0,0,0
B2_dpesc_v3_s2,torus3d_transpose,0.35,0.174359375,0.1743625,0.0017922752934884656,11.506381,11.371657,-1.17086336703085,0,0,0,0
B2_dpesc_v3_s2,torus3d_transpose,0.4,0.199225,0.199225,0.0,11.670685,11.466393,-1.750471373359841,0,0,0,0
B2_dpesc_v3_s2,torus3d_transpose,0.45,0.2240671875,0.2240734375,0.002789341924502864,11.872667,11.584274,-2.429049850383236,0,0,0,0
