config,pattern,pd_rate,pd_throughput,pd_latency,global_rate,global_throughput,global_latency,throughput_delta_pct,latency_delta_pct,pd_escape_transitions,global_escape_transitions,pd_deadlock,global_deadlock
B2_dpesc_v3_s2,torus3d_neighbor,0.85,0.3996015625,298.170052,1.0,0.4990796875,7.0,24.894328334864802,-97.65234638655126,0.0,0.0,0,0
B2_dpesc_v3_s2,torus3d_tornado,0.8,0.3806640625,246.707715,0.95,0.4740953125,14.125819,24.54427911749615,-94.27426945282194,63393.0,103696.0,0,0
B2_dpesc_v3_s2,torus3d_transpose,0.8,0.3666578125,406.093641,0.9,0.4489328125,13.117769,22.43917821879222,-96.7697674438591,85830.0,66350.0,0,0
B2_dpesc_v3_s2,torus3d_xopposite,0.55,0.26898125,71.289855,1.0,0.4989796875,9.511012,85.5072379580361,-86.65867394456056,86048.0,26.0,0,0
B2_dpesc_v3_s2,uniform_random,0.85,0.3823921875,504.814274,0.95,0.47379375,14.856201,23.90257057749121,-97.05709569535667,89242.0,105398.0,0,0
B4_dpesc_v5_s4,torus3d_neighbor,1.0,0.4990796875,7.0,1.0,0.4990796875,7.0,0.0,0.0,0.0,0.0,0,0
B4_dpesc_v5_s4,torus3d_tornado,1.0,0.4987984375,12.845178,1.0,0.4987984375,12.833979,0.0,-0.08718446719852002,850.0,0.0,0,0
B4_dpesc_v5_s4,torus3d_transpose,1.0,0.4988578125,11.874933,1.0,0.49885625,11.781547,-0.0003132155016571936,-0.7864128580767571,14171.0,2.0,0,0
B4_dpesc_v5_s4,torus3d_xopposite,1.0,0.484046875,147.098505,1.0,0.4989796875,9.510044,3.0849930598147113,-93.53491457985925,113794.0,0.0,0,0
B4_dpesc_v5_s4,uniform_random,1.0,0.498834375,12.176389,1.0,0.4988421875,12.113294,0.0015661510897269082,-0.5181749696071658,14690.0,500.0,0,0
B6_dpesc_v7_s6,torus3d_neighbor,1.0,0.4990796875,7.0,1.0,0.4990796875,7.0,0.0,0.0,0.0,0.0,0,0
B6_dpesc_v7_s6,torus3d_tornado,1.0,0.4988015625,12.836286,1.0,0.4987984375,12.833979,-0.000626501646128208,-0.017972488303863443,0.0,0.0,0,0
B6_dpesc_v7_s6,torus3d_transpose,1.0,0.4988640625,11.783123,1.0,0.4988640625,11.782042,0.0,-0.009174138299317125,8.0,0.0,0,0
B6_dpesc_v7_s6,torus3d_xopposite,1.0,0.4989796875,9.511012,1.0,0.4989796875,9.510044,0.0,-0.010177676150535664,26.0,0.0,0,0
B6_dpesc_v7_s6,uniform_random,1.0,0.498834375,12.113762,1.0,0.498834375,12.110639,0.0,-0.025780595656399452,197.0,0.0,0,0
