mode,policy,reserve,pool_slots,pair_slots,pattern,link_latency,injection_rate,vcs_per_vnet,sim_cycles,random_seed,deadlock,exit_code,wall_seconds,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,escape_hops,escape_transitions,grants_migrated,credits_returned,pool_full_blocks,borrowed_peak,grant_queue_mean,grant_queue_max,return_credit_conflicts,received_east,received_west,received_north,received_south,received_up,received_down,received_dir_total,sim_ticks
PRIV,private,,0,8,torus3d_xopposite,8,0.05,4,10000,1,0,0,8.822,16000.0,15937.0,15867.0,0.9960625,0.9956077053397754,0.0247921875,2.033844,35.006239,37.040083,2.00063,21.0,11.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_xopposite,8,0.1,4,10000,1,0,0,8.879,32000.0,31898.0,31765.0,0.9968125,0.995830459589943,0.0496328125,2.251251,35.041429,37.292681,2.003904,388.0,257.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_xopposite,8,0.15,4,10000,1,0,0,9.131,48000.0,47888.0,47698.0,0.9976666666666667,0.9960324089542265,0.074528125,2.872217,35.163634,38.035851,2.014676,2337.0,1543.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_xopposite,8,0.2,4,10000,1,0,0,9.318,64000.0,64021.0,63771.0,1.000328125,0.9960950313178488,0.0996421875,4.366389,35.397751,39.76414,2.032052,6773.0,4415.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_xopposite,8,0.25,4,10000,1,0,0,9.493,80000.0,79844.0,79524.0,0.99805,0.9959921847602825,0.12425625,8.609087,35.763669,44.372755,2.052009,13940.0,8966.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_xopposite,8,0.3,4,10000,1,0,0,9.854,96000.0,95318.0,94959.0,0.9928958333333333,0.9962336599592941,0.1483734375,39.860424,36.106046,75.96647,2.0615,19435.0,12228.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_xopposite,8,0.35,4,10000,1,0,0,9.994,112000.0,100750.0,100382.0,0.8995535714285714,0.9963473945409429,0.156846875,480.455121,35.238808,515.693929,2.011496,3435.0,2069.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_xopposite,8,0.4,4,10000,1,0,0,10.182,128000.0,100966.0,100603.0,0.788796875,0.9964047303052512,0.1571921875,1027.635468,35.115623,1062.751091,2.003936,1231.0,749.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_xopposite,8,0.45,4,10000,1,0,0,10.749,144000.0,101002.0,100647.0,0.7014027777777778,0.9964852181144928,0.1572609375,1471.487128,35.265204,1506.752332,2.014069,2932.0,1424.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_xopposite,8,0.5,4,10000,1,0,0,10.637,160000.0,101024.0,100676.0,0.6314,0.9965552739942983,0.15730625,1828.583039,35.136547,1863.719586,2.005225,1615.0,977.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_xopposite,8,0.55,4,10000,1,0,0,10.732,176000.0,101054.0,100703.0,0.5741704545454546,0.9965266095354959,0.1573484375,2114.371121,35.096492,2149.467613,2.003317,1040.0,635.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_xopposite,8,0.6,4,10000,1,0,0,10.729,192000.0,101064.0,100716.0,0.526375,0.9965566373782949,0.15736875,2355.339857,35.101563,2390.441419,2.003237,1086.0,692.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_xopposite,8,0.65,4,10000,1,0,0,10.909,208000.0,101070.0,100731.0,0.48591346153846154,0.9966458889878302,0.1573921875,2556.009014,35.057073,2591.066087,2.002899,761.0,422.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_xopposite,8,0.7,4,10000,1,0,0,10.954,224000.0,101067.0,100723.0,0.4511919642857143,0.9965963172944681,0.1573796875,2728.243996,35.082474,2763.32647,2.003673,1159.0,711.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_xopposite,8,0.75,4,10000,1,0,0,11.150,240000.0,101086.0,100745.0,0.4211916666666667,0.9966266347466514,0.1574140625,2878.086555,35.070177,2913.156732,2.002283,721.0,452.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_xopposite,8,0.8,4,10000,1,0,0,10.980,256000.0,101095.0,100758.0,0.39490234375,0.9966665018052328,0.157434375,3010.054705,35.062824,3045.117529,2.002124,624.0,372.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_xopposite,8,0.85,4,10000,1,0,0,10.592,272000.0,101099.0,100764.0,0.3716875,0.9966864162850275,0.15744375,3126.544589,35.054772,3161.599361,2.001985,549.0,324.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_xopposite,8,0.9,4,10000,1,0,0,10.899,288000.0,101093.0,100760.0,0.3510173611111111,0.9967060033830235,0.1574375,3230.838597,35.115145,3265.953742,2.005518,1432.0,800.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_xopposite,8,0.95,4,10000,1,0,0,10.772,304000.0,101097.0,100768.0,0.3325559210526316,0.9967456996745699,0.15745,3323.188909,35.109946,3358.298855,2.005518,1426.0,796.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_xopposite,8,1.0,4,10000,1,0,0,10.572,320000.0,101102.0,100772.0,0.31594375,0.9967359696148445,0.15745625,3406.969902,35.106468,3442.07637,2.00522,1365.0,767.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
STV-b,starve,1,6,8,torus3d_xopposite,8,0.05,8,10000,1,0,0,10.491,16000.0,15937.0,15867.0,0.9960625,0.9956077053397754,0.0247921875,2.033844,35.434802,37.468646,2.043108,2305.0,1462.0,95589.0,828387.0,0.0,2.0,0.394599,3.0,320980.0,7995.0,7888.0,0.0,0.0,0.0,0.0,15883.0,10000.0
STV-b,starve,1,6,8,torus3d_xopposite,8,0.1,8,10000,1,0,0,11.144,32000.0,31898.0,31763.0,0.9968125,0.9957677597341527,0.0496296875,2.252715,35.917797,38.170513,2.070522,8408.0,5233.0,104671.0,808083.0,0.0,2.0,0.416967,4.0,326507.0,15871.0,15927.0,0.0,0.0,0.0,0.0,31798.0,10000.0
STV-b,starve,1,6,8,torus3d_xopposite,8,0.15,8,10000,1,0,0,10.982,48000.0,47888.0,47692.0,0.9976666666666667,0.9959071166054126,0.07451875,2.896503,36.45775,39.354252,2.079384,15860.0,9946.0,122846.0,788837.0,0.0,2.0,0.420475,4.0,317738.0,23899.0,23840.0,0.0,0.0,0.0,0.0,47739.0,10000.0
STV-b,starve,1,6,8,torus3d_xopposite,8,0.2,8,10000,1,0,0,11.387,64000.0,64020.0,63751.0,1.0003125,0.9957981880662293,0.0996109375,4.538454,37.182334,41.720789,2.084924,23543.0,14661.0,130499.0,769444.0,0.0,2.0,0.415355,4.0,303355.0,31797.0,32019.0,0.0,0.0,0.0,0.0,63816.0,10000.0
STV-b,starve,1,6,8,torus3d_xopposite,8,0.25,8,10000,1,0,0,11.705,80000.0,79831.0,79496.0,0.9978875,0.9958036351793164,0.1242125,9.696865,37.950526,47.647391,2.083099,29990.0,18607.0,140866.0,749856.0,0.0,2.0,0.399117,4.0,280875.0,39736.0,39841.0,0.0,0.0,0.0,0.0,79577.0,10000.0
STV-b,starve,1,6,8,torus3d_xopposite,8,0.3,8,10000,1,0,0,12.011,96000.0,94924.0,94544.0,0.9887916666666666,0.9959967974379503,0.147725,63.352101,38.499662,101.851762,2.078334,34704.0,21501.0,144808.0,730840.0,0.0,2.0,0.394818,3.0,270502.0,47310.0,47310.0,0.0,0.0,0.0,0.0,94620.0,10000.0
STV-b,starve,1,6,8,torus3d_xopposite,8,0.35,8,10000,1,0,0,12.203,112000.0,98011.0,97619.0,0.8750982142857143,0.9960004489292018,0.1525296875,597.652312,38.577172,636.229484,2.077936,35541.0,21918.0,161813.0,726996.0,0.0,2.0,0.394566,4.0,268241.0,48852.0,48845.0,0.0,0.0,0.0,0.0,97697.0,10000.0
STV-b,starve,1,6,8,torus3d_xopposite,8,0.4,8,10000,1,0,0,12.316,128000.0,98136.0,97749.0,0.7666875,0.9960564930300807,0.1527328125,1137.090528,38.5784,1175.668928,2.07818,35679.0,22034.0,182195.0,726924.0,0.0,2.0,0.391433,4.0,266374.0,48911.0,48933.0,0.0,0.0,0.0,0.0,97844.0,10000.0
STV-b,starve,1,6,8,torus3d_xopposite,8,0.45,8,10000,1,0,0,12.463,144000.0,98246.0,97854.0,0.6822638888888889,0.9960100156749384,0.152896875,1564.846445,38.543289,1603.389734,2.07781,35566.0,21992.0,175821.0,726857.0,0.0,2.0,0.394452,4.0,268819.0,48993.0,48942.0,0.0,0.0,0.0,0.0,97935.0,10000.0
STV-b,starve,1,6,8,torus3d_xopposite,8,0.5,8,10000,1,0,0,12.664,160000.0,98239.0,97851.0,0.61399375,0.9960504483962581,0.1528921875,1912.384258,38.550061,1950.934319,2.076525,35584.0,22178.0,220566.0,726929.0,0.0,2.0,0.393016,4.0,267461.0,49012.0,48932.0,0.0,0.0,0.0,0.0,97944.0,10000.0
STV-b,starve,1,6,8,torus3d_xopposite,8,0.55,8,10000,1,0,0,12.633,176000.0,98247.0,97862.0,0.558221590909091,0.9960813052815862,0.152909375,2192.080705,38.600672,2230.681378,2.077211,35656.0,22183.0,233422.0,726825.0,0.0,2.0,0.400824,4.0,274650.0,48971.0,48978.0,0.0,0.0,0.0,0.0,97949.0,10000.0
STV-b,starve,1,6,8,torus3d_xopposite,8,0.6,8,10000,1,0,0,12.609,192000.0,98265.0,97878.0,0.511796875,0.9960616699740498,0.152934375,2425.376612,38.609463,2463.986075,2.0773,35593.0,22163.0,265692.0,726741.0,0.0,2.0,0.406176,4.0,279495.0,48989.0,48982.0,0.0,0.0,0.0,0.0,97971.0,10000.0
STV-b,starve,1,6,8,torus3d_xopposite,8,0.65,8,10000,1,0,0,12.514,208000.0,98287.0,97901.0,0.47253365384615387,0.9960727257928312,0.1529703125,2619.813689,38.597655,2658.411344,2.079141,35771.0,22157.0,287349.0,726663.0,0.0,2.0,0.407617,4.0,280695.0,49033.0,48955.0,0.0,0.0,0.0,0.0,97988.0,10000.0
STV-b,starve,1,6,8,torus3d_xopposite,8,0.7,8,10000,1,0,0,12.791,224000.0,98257.0,97868.0,0.43864732142857144,0.9960409945347405,0.15291875,2787.448747,38.608697,2826.057445,2.079188,35797.0,22172.0,291774.0,726744.0,0.0,2.0,0.413204,4.0,286342.0,49001.0,48959.0,0.0,0.0,0.0,0.0,97960.0,10000.0
STV-b,starve,1,6,8,torus3d_xopposite,8,0.75,8,10000,1,0,0,12.862,240000.0,98286.0,97900.0,0.409525,0.9960726858352156,0.15296875,2934.089632,38.551828,2972.641461,2.0781,35646.0,22031.0,298076.0,726820.0,0.0,2.0,0.422062,4.0,293996.0,48969.0,49017.0,0.0,0.0,0.0,0.0,97986.0,10000.0
STV-b,starve,1,6,8,torus3d_xopposite,8,0.8,8,10000,1,0,0,12.795,256000.0,98267.0,97874.0,0.38385546875,0.9960006919922253,0.152928125,3063.155353,38.552803,3101.708155,2.0762,35518.0,22102.0,323717.0,726902.0,0.0,2.0,0.42766,4.0,299264.0,48938.0,49021.0,0.0,0.0,0.0,0.0,97959.0,10000.0
STV-b,starve,1,6,8,torus3d_xopposite,8,0.85,8,10000,1,0,0,12.860,272000.0,98257.0,97868.0,0.3612389705882353,0.9960409945347405,0.15291875,3176.453243,38.556586,3215.00983,2.076021,35504.0,22112.0,331768.0,726973.0,0.0,2.0,0.427575,4.0,299172.0,48954.0,48997.0,0.0,0.0,0.0,0.0,97951.0,10000.0
STV-b,starve,1,6,8,torus3d_xopposite,8,0.9,8,10000,1,0,0,13.067,288000.0,98291.0,97909.0,0.34128819444444447,0.9961135811010163,0.1529828125,3274.942263,38.509647,3313.451909,2.074028,35351.0,22104.0,357464.0,726982.0,0.0,2.0,0.427535,4.0,299206.0,48991.0,49004.0,0.0,0.0,0.0,0.0,97995.0,10000.0
STV-b,starve,1,6,8,torus3d_xopposite,8,0.95,8,10000,1,0,0,12.874,304000.0,98279.0,97894.0,0.3232861842105263,0.9960825812228452,0.152959375,3365.354537,38.563804,3403.91834,2.075531,35498.0,22106.0,376198.0,726990.0,0.0,2.0,0.426967,4.0,299229.0,48987.0,48995.0,0.0,0.0,0.0,0.0,97982.0,10000.0
STV-b,starve,1,6,8,torus3d_xopposite,8,1.0,8,10000,1,0,0,12.761,320000.0,98281.0,97892.0,0.307128125,0.9960419613150049,0.15295625,3446.22581,38.551444,3484.777255,2.075021,35436.0,22107.0,383753.0,727015.0,0.0,2.0,0.427494,4.0,299126.0,48983.0,48996.0,0.0,0.0,0.0,0.0,97979.0,10000.0
PRIV,private,,0,8,torus3d_tornado,8,0.05,4,10000,1,0,0,8.743,16000.0,15937.0,15856.0,0.9960625,0.9949174876074544,0.024775,2.033867,44.023461,46.057328,3.0,2.0,2.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_tornado,8,0.1,4,10000,1,0,0,9.084,32000.0,31898.0,31747.0,0.9968125,0.9952661608878299,0.0496046875,2.251898,44.067817,46.319715,3.001512,164.0,114.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_tornado,8,0.15,4,10000,1,0,0,9.308,48000.0,47888.0,47662.0,0.9976666666666667,0.9952806548613431,0.074471875,2.875897,44.235156,47.111053,3.014435,2021.0,1261.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_tornado,8,0.2,4,10000,1,0,0,9.491,64000.0,64021.0,63705.0,1.000328125,0.9950641195857609,0.0995390625,4.382388,44.646323,49.02871,3.044863,8615.0,5086.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_tornado,8,0.25,4,10000,1,0,0,9.832,80000.0,79847.0,79430.0,0.9980875,0.9947775119916841,0.124109375,8.642301,45.585471,54.227773,3.09543,22741.0,12574.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_tornado,8,0.3,4,10000,1,0,0,10.364,96000.0,95301.0,94821.0,0.99271875,0.9949633267226996,0.1481578125,40.486401,48.000633,88.487033,3.159311,44563.0,22936.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV,private,,0,8,torus3d_tornado,8,0.35,4,10000,1,0,0,10.468,112000.0,100274.0,99773.0,0.8953035714285714,0.9950036898897022,0.1558953125,498.575246,49.203482,547.778728,3.176461,51740.0,25585.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
