mode,policy,reserve,pool_slots,pair_slots,pattern,link_latency,injection_rate,vcs_per_vnet,sim_cycles,random_seed,deadlock,exit_code,wall_seconds,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,escape_hops,escape_transitions,grants_migrated,credits_returned,pool_full_blocks,borrowed_peak,grant_queue_mean,grant_queue_max,return_credit_conflicts,received_east,received_west,received_north,received_south,received_up,received_down,received_dir_total,sim_ticks
PRIV,private,,0,8,torus3d_xbiased,1,0.1,4,5000,1,0,0,9.915,16000.0,15942.0,15926.0,0.996375,0.9989963618115669,0.04976875,2.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0
PRIV,private,,0,8,torus3d_xbiased,1,0.15,4,5000,1,0,0,10.290,24000.0,23919.0,23885.0,0.996625,0.9985785358919688,0.074640625,2.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0
PRIV,private,,0,8,torus3d_xbiased,1,0.2,4,5000,1,0,0,10.473,32000.0,31971.0,31931.0,0.99909375,0.9987488661599575,0.099784375,2.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0
PRIV,private,,0,8,torus3d_xbiased,1,0.25,4,5000,1,0,0,10.304,40000.0,39784.0,39737.0,0.9946,0.9988186205509753,0.124178125,2.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0
PRIV,private,,0,8,torus3d_xbiased,1,0.3,4,5000,1,0,0,10.347,48000.0,47779.0,47735.0,0.9953958333333334,0.9990790933255196,0.149171875,2.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0
PRIV,private,,0,8,torus3d_xbiased,1,0.4,4,5000,1,0,0,10.740,64000.0,63399.0,63324.0,0.990609375,0.9988170160412625,0.1978875,2.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0
PRIV,private,,0,8,torus3d_xbiased,1,0.6,4,5000,1,0,0,11.061,96000.0,95564.0,95453.0,0.9954583333333333,0.9988384747394417,0.298290625,2.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0
STV-a,starve,2,4,8,torus3d_xbiased,1,0.1,8,5000,1,0,0,11.682,16000.0,15942.0,15926.0,0.996375,0.9989963618115669,0.04976875,2.0,5.002826,7.002826,1.001381,97.0,75.0,85363.0,938463.0,0.0,1.0,0.548866,4.0,484064.0,11.0,15922.0,0.0,0.0,0.0,0.0,15933.0,5000.0
STV-a,starve,2,4,8,torus3d_xbiased,1,0.15,8,5000,1,0,0,11.762,24000.0,23919.0,23885.0,0.996625,0.9985785358919688,0.074640625,2.0,5.010425,7.010425,1.004857,325.0,209.0,78214.0,930070.0,0.0,1.0,0.570155,4.0,485654.0,58.0,23841.0,0.0,0.0,0.0,0.0,23899.0,5000.0
STV-a,starve,2,4,8,torus3d_xbiased,1,0.2,8,5000,1,0,0,12.160,32000.0,31971.0,31931.0,0.99909375,0.9987488661599575,0.099784375,2.0,5.017914,7.017914,1.00833,766.0,500.0,84716.0,921933.0,0.0,1.0,0.588252,5.0,489347.0,133.0,31808.0,0.0,0.0,0.0,0.0,31941.0,5000.0
