mode,policy,reserve,pool_slots,pair_slots,pattern,link_latency,injection_rate,vcs_per_vnet,sim_cycles,random_seed,deadlock,exit_code,wall_seconds,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,escape_hops,escape_transitions,grants_migrated,credits_returned,pool_full_blocks,borrowed_peak,grant_queue_mean,grant_queue_max,return_credit_conflicts,received_east,received_west,received_north,received_south,received_up,received_down,received_dir_total,sim_ticks
PRIV-v3,private,,0,6,torus3d_xopposite,8,0.05,3,10000,1,0,0,11.306,16000.0,15934.0,15866.0,0.995875,0.995732396134053,0.024790625,2.459599,35.049036,37.508635,2.004916,305.0,219.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,8,0.1,3,10000,1,0,0,11.489,32000.0,31890.0,31760.0,0.9965625,0.9959234869865161,0.049625,4.192569,35.29068,39.483249,2.027267,2925.0,1957.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,8,0.15,3,10000,1,0,0,11.744,48000.0,47848.0,47664.0,0.9968333333333333,0.9961544892158501,0.074475,9.901582,35.632532,45.534114,2.05245,8059.0,5205.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,8,0.2,3,10000,1,0,0,12.197,64000.0,63431.0,63201.0,0.991109375,0.9963740127067207,0.0987515625,62.132166,35.582301,97.714467,2.038544,7745.0,4941.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,8,0.25,3,10000,1,0,0,12.189,80000.0,67236.0,66996.0,0.84045,0.9964304836694627,0.10468125,782.486059,35.074855,817.560914,2.00197,434.0,261.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,8,0.3,3,10000,1,0,0,12.327,96000.0,67331.0,67095.0,0.7013645833333333,0.9964949280420609,0.1048359375,1472.490826,35.055712,1507.546538,2.001163,275.0,189.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,8,0.35,3,10000,1,0,0,12.547,112000.0,67356.0,67122.0,0.6013928571428572,0.9965259219668626,0.104878125,1961.37256,35.038974,1996.411534,2.001043,209.0,134.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,8,0.4,3,10000,1,0,0,12.711,128000.0,67372.0,67137.0,0.52634375,0.996511904055097,0.1049015625,2338.887543,35.040604,2373.928147,2.000745,124.0,71.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,8,0.45,3,10000,1,0,0,12.730,144000.0,67381.0,67148.0,0.46792361111111114,0.9965420519137442,0.10491875,2634.894814,35.026241,2669.921055,2.000179,383.0,367.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,8,0.5,3,10000,1,0,0,12.691,160000.0,67394.0,67164.0,0.4212125,0.9965872332848622,0.10494375,2877.620451,35.020651,2912.641102,2.000357,77.0,51.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,8,0.55,3,10000,1,0,0,12.859,176000.0,67398.0,67173.0,0.3829431818181818,0.9966616220065877,0.1049578125,3069.456165,35.012103,3104.468269,2.000357,72.0,47.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,8,0.6,3,10000,1,0,0,13.041,192000.0,67407.0,67182.0,0.351078125,0.996662067737772,0.104971875,3230.399169,35.009229,3265.408398,2.000149,30.0,20.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,8,0.65,3,10000,1,0,0,12.299,208000.0,67413.0,67187.0,0.3241009615384615,0.9966475308916678,0.1049796875,3364.717282,35.000833,3399.718115,2.000089,18.0,12.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,8,0.7,3,10000,1,0,0,12.145,224000.0,67420.0,67192.0,0.30098214285714286,0.9966182141797686,0.1049875,3480.003215,35.0,3515.003215,2.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,8,0.75,3,10000,1,0,0,12.267,240000.0,67428.0,67197.0,0.28095,0.9965741235095212,0.1049953125,3579.180291,35.0,3614.180291,2.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,8,0.8,3,10000,1,0,0,12.267,256000.0,67438.0,67198.0,0.2634296875,0.9964411755983273,0.104996875,3666.428793,35.0,3701.428793,2.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,8,0.85,3,10000,1,0,0,12.401,272000.0,67440.0,67198.0,0.24794117647058825,0.99641162514828,0.104996875,3744.181196,35.0,3779.181196,2.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,8,0.9,3,10000,1,0,0,12.277,288000.0,67447.0,67198.0,0.2341909722222222,0.9963082123741605,0.104996875,3813.317033,35.0,3848.317033,2.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,8,0.95,3,10000,1,0,0,12.361,304000.0,67451.0,67200.0,0.2218782894736842,0.9962787801515174,0.105,3874.576607,35.0,3909.576607,2.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,8,1.0,3,10000,1,0,0,12.311,320000.0,67456.0,67200.0,0.2108,0.9962049335863378,0.105,3931.057738,35.0,3966.057738,2.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
STV-r1p4,starve,1,4,6,torus3d_xopposite,8,0.05,6,10000,1,0,0,12.045,16000.0,15934.0,15865.0,0.995875,0.9956696372536714,0.0247890625,2.462969,35.716798,38.179767,2.065805,3790.0,2354.0,50190.0,411022.0,0.0,1.0,0.382008,3.0,158951.0,8000.0,7882.0,0.0,0.0,0.0,0.0,15882.0,10000.0
STV-r1p4,starve,1,4,6,torus3d_xopposite,8,0.1,6,10000,1,0,0,12.436,32000.0,31889.0,31753.0,0.99653125,0.9957352064975383,0.0496140625,4.248292,36.558656,40.806947,2.097251,12855.0,7972.0,55818.0,398236.0,0.0,1.0,0.381895,3.0,156300.0,15890.0,15899.0,0.0,0.0,0.0,0.0,31789.0,10000.0
STV-r1p4,starve,1,4,6,torus3d_xopposite,8,0.15,6,10000,1,0,0,12.560,48000.0,47846.0,47646.0,0.9967916666666666,0.9958199222505538,0.074446875,10.53717,37.586996,48.124166,2.108047,22886.0,14138.0,65480.0,384541.0,0.0,1.0,0.372166,3.0,150323.0,23933.0,23762.0,0.0,0.0,0.0,0.0,47695.0,10000.0
STV-r1p4,starve,1,4,6,torus3d_xopposite,8,0.2,6,10000,1,0,0,13.107,64000.0,63164.0,62908.0,0.9869375,0.9959470584510164,0.09829375,89.044541,38.44449,127.489032,2.108953,30808.0,18916.0,70294.0,370160.0,0.0,1.0,0.357465,3.0,143676.0,31459.0,31509.0,0.0,0.0,0.0,0.0,62968.0,10000.0
STV-r1p4,starve,1,4,6,torus3d_xopposite,8,0.25,6,10000,1,0,0,13.521,80000.0,65720.0,65458.0,0.8215,0.9960133901399878,0.102278125,876.735938,38.47435,915.210288,2.106572,31150.0,19223.0,70403.0,367332.0,0.0,2.0,0.357175,4.0,142926.0,32840.0,32676.0,0.0,0.0,0.0,0.0,65516.0,10000.0
STV-r1p4,starve,1,4,6,torus3d_xopposite,8,0.3,6,10000,1,0,0,13.620,96000.0,65774.0,65510.0,0.6851458333333333,0.9959862559674035,0.102359375,1548.499679,38.434728,1586.934407,2.105938,31115.0,19101.0,77547.0,367352.0,0.0,1.0,0.359818,3.0,144459.0,32824.0,32744.0,0.0,0.0,0.0,0.0,65568.0,10000.0
STV-r1p4,starve,1,4,6,torus3d_xopposite,8,0.35,6,10000,1,0,0,13.807,112000.0,65890.0,65635.0,0.5883035714285715,0.9961299134921839,0.1025546875,2026.073817,38.3354,2064.409218,2.103756,30566.0,18795.0,80560.0,367115.0,0.0,2.0,0.357828,3.0,143250.0,32854.0,32838.0,0.0,0.0,0.0,0.0,65692.0,10000.0
