mode,policy,reserve,pool_slots,pair_slots,pattern,link_latency,injection_rate,vcs_per_vnet,sim_cycles,random_seed,deadlock,exit_code,wall_seconds,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,escape_hops,escape_transitions,grants_migrated,credits_returned,pool_full_blocks,borrowed_peak,grant_queue_mean,grant_queue_max,return_credit_conflicts,received_east,received_west,received_north,received_south,received_up,received_down,received_dir_total,sim_ticks
PRIV-v3,private,,0,6,torus3d_xopposite,1,0.05,3,10000,1,0,0,10.600,16000.0,15937.0,15921.0,0.9960625,0.9989960469348058,0.0248765625,2.002638,7.025941,9.028579,2.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,1,0.1,3,10000,1,0,0,10.710,32000.0,31899.0,31867.0,0.99684375,0.9989968337565441,0.0497921875,2.009759,7.050868,9.060627,2.000377,24.0,12.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,1,0.15,3,10000,1,0,0,10.839,48000.0,47896.0,47849.0,0.9978333333333333,0.999018707198931,0.0747640625,2.023073,7.077159,9.100232,2.000502,82.0,58.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,1,0.2,3,10000,1,0,0,11.100,64000.0,64041.0,63979.0,1.000640625,0.9990318702081479,0.0999671875,2.043092,7.100095,9.143188,2.001032,257.0,189.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,1,0.25,3,10000,1,0,0,11.509,80000.0,79913.0,79827.0,0.9989125,0.9989238296647605,0.1247296875,2.070515,7.127639,9.198154,2.002606,648.0,435.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,1,0.3,3,10000,1,0,0,11.513,96000.0,95859.0,95762.0,0.99853125,0.9989880971009504,0.149628125,2.108227,7.152503,9.26073,2.004783,1379.0,895.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,1,0.35,3,10000,1,0,0,11.649,112000.0,111637.0,111527.0,0.9967589285714286,0.9990146635971945,0.1742609375,2.156689,7.174774,9.331462,2.007263,2414.0,1548.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,1,0.4,3,10000,1,0,0,11.782,128000.0,127611.0,127493.0,0.9969609375,0.9990753148239572,0.1992078125,2.22111,7.201384,9.422494,2.009146,3889.0,2648.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,1,0.45,3,10000,1,0,0,12.051,144000.0,143677.0,143554.0,0.9977569444444444,0.9991439130828177,0.224303125,2.306456,7.231091,9.537547,2.013584,6318.0,4180.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,1,0.5,3,10000,1,0,0,12.380,160000.0,159651.0,159517.0,0.99781875,0.9991606692097137,0.2492453125,2.42388,7.252819,9.676699,2.016813,8940.0,5973.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
