link_latency,pattern,mode,sat_throughput,sat_rate,delta_vs_priv_pct,matched_rate,matched_packet_latency,direction_fairness_at_sat,grants_migrated_at_sat,credits_returned_at_sat,pool_full_blocks_at_sat,borrowed_peak_at_sat,grant_queue_max_at_sat,return_conflicts_at_sat
1,torus3d_neighbor,PRIV,0.499140625,1.0,0.0,0.45,7.0,nan,0.0,0.0,0.0,0.0,nan,0.0
1,torus3d_neighbor,RR-a,0.499115625,1.0,-0.005008608545942206,0.45,7.347118,0.14247197439702491,128.0,0.0,0.0,2.0,nan,0.0
1,torus3d_neighbor,STV-a,0.477065625,1.0,-4.422601346063548,0.45,7.073904,0.062157621795340005,994787.0,1625991.0,0.0,2.0,7.0,912002.0
1,torus3d_neighbor,RR-b,0.250075,1.0,-49.898888714978874,0.45,16.833379,0.3323126081746771,192.0,0.0,0.0,3.0,1.0,0.0
1,torus3d_neighbor,STV-b,0.371875,1.0,-25.49694787916732,0.45,7.588045,0.14024063146601273,1031648.0,1709648.0,0.0,2.0,12.0,1619488.0
1,torus3d_tornado,PRIV,0.4988546875,1.0,0.0,0.45,11.496579,nan,0.0,0.0,0.0,0.0,nan,0.0
1,torus3d_tornado,RR-a,0.2775140625,0.6,-44.36975948030959,0.45,13.198006,0.047217494120551436,384.0,0.0,0.0,2.0,1.0,0.0
1,torus3d_tornado,STV-a,0.4373546875,1.0,-12.328239373314497,0.45,11.611347,0.0656958760008487,922628.0,1104382.0,0.0,1.0,7.0,854769.0
1,torus3d_tornado,RR-b,0.2496984375,0.8,-49.94565677003887,0.45,22.855496,9.189256923269705e-05,576.0,0.0,0.0,3.0,1.0,0.0
1,torus3d_tornado,STV-b,0.3209125,1.0,-35.670144424572534,0.45,12.971925,0.06878986600540758,1072403.0,1336989.0,0.0,2.0,12.0,1081062.0
1,torus3d_transpose,PRIV,0.4989234375,1.0,0.0,0.5,11.333037,nan,0.0,0.0,0.0,0.0,nan,0.0
