link_latency,pattern,mode,sat_throughput,sat_rate,delta_vs_priv_pct,matched_rate,matched_packet_latency,direction_fairness_at_sat,grants_migrated_at_sat,credits_returned_at_sat,pool_full_blocks_at_sat,borrowed_peak_at_sat,grant_queue_max_at_sat,return_conflicts_at_sat
8,torus3d_neighbor,PRIV,0.1575,1.0,0.0,0.3,63.746358,nan,0.0,0.0,0.0,0.0,nan,0.0
8,torus3d_neighbor,STV-b,0.15745,1.0,-0.03174603174602719,0.3,65.679177,0.04476127320954907,425072.0,797200.0,0.0,1.0,3.0,353552.0
8,torus3d_tornado,PRIV,0.1564171875,0.8,0.0,0.25,54.227773,nan,0.0,0.0,0.0,0.0,nan,0.0
8,torus3d_tornado,STV-b,0.1450078125,0.75,-7.2941952111241,0.25,64.680336,0.047293763890704665,385863.0,664382.0,0.0,2.0,4.0,195157.0
8,torus3d_transpose,PRIV,0.1569203125,0.85,0.0,0.3,83.523195,nan,0.0,0.0,0.0,0.0,nan,0.0
8,torus3d_transpose,STV-b,0.155103125,0.85,-1.1580320425375046,0.3,97.993716,0.8820928965057834,281597.0,646096.0,0.0,2.0,4.0,159082.0
8,torus3d_xopposite,PRIV,0.15745625,1.0,0.0,0.25,44.372755,nan,0.0,0.0,0.0,0.0,nan,0.0
8,torus3d_xopposite,STV-b,0.1529828125,0.9,-2.84106696304528,0.25,47.647391,0.9997347155334259,357464.0,726982.0,0.0,2.0,4.0,299206.0
8,uniform_random,PRIV,0.15645,0.9,0.0,0.3,89.480039,nan,0.0,0.0,0.0,0.0,nan,0.0
8,uniform_random,STV-b,0.155675,0.95,-0.4953659316075387,0.3,97.725269,0.9269126488270659,251221.0,631543.0,0.0,2.0,4.0,153038.0
