family,mode,cap,pattern,sat_throughput,sat_plain,delta_pct
PA,PA1_dpcbs_v4_s1,1,torus3d_xopposite,0.265430,0.410573,-35.35
PA,PA2_dpcbs_v4_s2,2,torus3d_xopposite,0.320186,0.410573,-22.01
PA,PA3_dpcbs_v4_s3,3,torus3d_xopposite,0.320186,0.410573,-22.01
PA,PA4_dpcbs_v4_s4,4,torus3d_xopposite,0.320186,0.410573,-22.01
PA,PA1_dpcbs_v4_s1,1,torus3d_tornado,0.498880,0.498880,0.00
PA,PA2_dpcbs_v4_s2,2,torus3d_tornado,0.498880,0.498880,0.00
PA,PA3_dpcbs_v4_s3,3,torus3d_tornado,0.498880,0.498880,0.00
PA,PA4_dpcbs_v4_s4,4,torus3d_tornado,0.498880,0.498880,0.00
PA,PA1_dpcbs_v4_s1,1,torus3d_transpose,0.259633,0.339356,-23.49
PA,PA2_dpcbs_v4_s2,2,torus3d_transpose,0.300803,0.339356,-11.36
PA,PA3_dpcbs_v4_s3,3,torus3d_transpose,0.330477,0.339356,-2.62
PA,PA4_dpcbs_v4_s4,4,torus3d_transpose,0.325977,0.339356,-3.94
PA,PA1_dpcbs_v4_s1,1,torus3d_neighbor,0.499080,0.499080,0.00
PA,PA2_dpcbs_v4_s2,2,torus3d_neighbor,0.499080,0.499080,0.00
PA,PA3_dpcbs_v4_s3,3,torus3d_neighbor,0.499080,0.499080,0.00
PA,PA4_dpcbs_v4_s4,4,torus3d_neighbor,0.499080,0.499080,0.00
PA,PA1_dpcbs_v4_s1,1,uniform_random,0.492081,0.498827,-1.35
PA,PA2_dpcbs_v4_s2,2,uniform_random,0.498816,0.498827,-0.00
PA,PA3_dpcbs_v4_s3,3,uniform_random,0.498830,0.498827,0.00
PA,PA4_dpcbs_v4_s4,4,uniform_random,0.498831,0.498827,0.00
PB,PB1_dpesc_v4_s1,1,torus3d_xopposite,0.226158,0.498978,-54.68
PB,PB2_dpesc_v4_s2,2,torus3d_xopposite,0.312966,0.498978,-37.28
PB,PB3_dpesc_v4_s3,3,torus3d_xopposite,0.410552,0.498978,-17.72
PB,PB4_dpesc_v4_s4,4,torus3d_xopposite,0.497428,0.498978,-0.31
PB,PB5_dpesc_v4_s5,5,torus3d_xopposite,0.498975,0.498978,-0.00
PB,PB6_dpesc_v4_s6,6,torus3d_xopposite,0.498978,0.498978,0.00
PB,PB1_dpesc_v4_s1,1,torus3d_tornado,0.278784,0.498798,-44.11
PB,PB2_dpesc_v4_s2,2,torus3d_tornado,0.465566,0.498798,-6.66
PB,PB3_dpesc_v4_s3,3,torus3d_tornado,0.498798,0.498798,0.00
PB,PB4_dpesc_v4_s4,4,torus3d_tornado,0.498798,0.498798,0.00
PB,PB5_dpesc_v4_s5,5,torus3d_tornado,0.498798,0.498798,0.00
PB,PB6_dpesc_v4_s6,6,torus3d_tornado,0.498798,0.498798,0.00
PB,PB1_dpesc_v4_s1,1,torus3d_transpose,0.199125,0.498859,-60.08
PB,PB2_dpesc_v4_s2,2,torus3d_transpose,0.371034,0.498859,-25.62
PB,PB3_dpesc_v4_s3,3,torus3d_transpose,0.498519,0.498859,-0.07
PB,PB4_dpesc_v4_s4,4,torus3d_transpose,0.498847,0.498859,-0.00
PB,PB5_dpesc_v4_s5,5,torus3d_transpose,0.498862,0.498859,0.00
PB,PB6_dpesc_v4_s6,6,torus3d_transpose,0.498859,0.498859,0.00
PB,PB1_dpesc_v4_s1,1,torus3d_neighbor,0.499055,0.499080,-0.01
PB,PB2_dpesc_v4_s2,2,torus3d_neighbor,0.499080,0.499080,0.00
PB,PB3_dpesc_v4_s3,3,torus3d_neighbor,0.499080,0.499080,0.00
PB,PB4_dpesc_v4_s4,4,torus3d_neighbor,0.499080,0.499080,0.00
PB,PB5_dpesc_v4_s5,5,torus3d_neighbor,0.499080,0.499080,0.00
PB,PB6_dpesc_v4_s6,6,torus3d_neighbor,0.499080,0.499080,0.00
PB,PB1_dpesc_v4_s1,1,uniform_random,0.224373,0.498834,-55.02
PB,PB2_dpesc_v4_s2,2,uniform_random,0.423806,0.498834,-15.04
PB,PB3_dpesc_v4_s3,3,uniform_random,0.498798,0.498834,-0.01
PB,PB4_dpesc_v4_s4,4,uniform_random,0.498841,0.498834,0.00
PB,PB5_dpesc_v4_s5,5,uniform_random,0.498836,0.498834,0.00
PB,PB6_dpesc_v4_s6,6,uniform_random,0.498834,0.498834,0.00
PC,PC1_dpesc_v3_s1,1,torus3d_xopposite,0.216636,0.399584,-45.78
PC,PC2_dpesc_v3_s2,2,torus3d_xopposite,0.268981,0.399584,-32.68
PC,PC3_dpesc_v3_s3,3,torus3d_xopposite,0.397352,0.399584,-0.56
PC,PC4_dpesc_v3_s4,4,torus3d_xopposite,0.399584,0.399584,0.00
PC,PC1_dpesc_v3_s1,1,torus3d_tornado,0.298695,0.381019,-21.61
PC,PC2_dpesc_v3_s2,2,torus3d_tornado,0.381019,0.381019,0.00
PC,PC3_dpesc_v3_s3,3,torus3d_tornado,0.381019,0.381019,0.00
PC,PC4_dpesc_v3_s4,4,torus3d_tornado,0.381019,0.381019,0.00
PC,PC1_dpesc_v3_s1,1,torus3d_transpose,0.199150,0.386270,-48.44
PC,PC2_dpesc_v3_s2,2,torus3d_transpose,0.367230,0.386270,-4.93
PC,PC3_dpesc_v3_s3,3,torus3d_transpose,0.385686,0.386270,-0.15
PC,PC4_dpesc_v3_s4,4,torus3d_transpose,0.386270,0.386270,0.00
PC,PC1_dpesc_v3_s1,1,torus3d_neighbor,0.399700,0.399700,0.00
PC,PC2_dpesc_v3_s2,2,torus3d_neighbor,0.399700,0.399700,0.00
PC,PC3_dpesc_v3_s3,3,torus3d_neighbor,0.399700,0.399700,0.00
PC,PC4_dpesc_v3_s4,4,torus3d_neighbor,0.399700,0.399700,0.00
PC,PC1_dpesc_v3_s1,1,uniform_random,0.248913,0.388300,-35.90
PC,PC2_dpesc_v3_s2,2,uniform_random,0.382655,0.388300,-1.45
PC,PC3_dpesc_v3_s3,3,uniform_random,0.387997,0.388300,-0.08
PC,PC4_dpesc_v3_s4,4,uniform_random,0.388300,0.388300,0.00
