mode,physical_vcs,pattern,injection_rate,link_latency,sim_cycles,torus_x,torus_y,torus_z,traffic_epoch_cycles,traffic_x_bias,traffic_x_hops,seed,deadlock,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,escape_hops,escape_transitions,pool_allocations,owned_pool_allocations,demand_reclaims,owner_migrations,release_handoffs,release_keeps,ownership_wait_starts,ownership_wait_completions,ownership_wait_cycles,ownership_wait_max,pool_write_blocks,pool_read_conflicts,pool_reads,reserved_reads,borrowed_peak,sim_ticks,pool_allocations_east,pool_allocations_west,pool_allocations_north,pool_allocations_south,pool_allocations_up,pool_allocations_down,pool_reads_east,pool_reads_west,pool_reads_north,pool_reads_south,pool_reads_up,pool_reads_down,reserved_reads_east,reserved_reads_west,reserved_reads_north,reserved_reads_south,reserved_reads_up,reserved_reads_down,migrations_to_east,migrations_to_west,migrations_to_north,migrations_to_south,migrations_to_up,migrations_to_down
private_v6,6,torus3d_xbiased,0.15,8,10000,8,4,4,0,1.0,3,1,0,96000.0,74083.0,72988.0,0.7716979166666667,0.9852192810766303,0.057021875,146.836987,91.887297,238.724283,3.255165,57912.0,18496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v6,6,torus3d_xbiased,0.15,8,10000,8,4,4,0,1.0,3,2,0,96000.0,79842.0,79003.0,0.8316875,0.9894917461987425,0.06172109375,124.829095,77.346101,202.175196,3.227713,56602.0,18312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v6,6,torus3d_xbiased,0.15,8,10000,8,4,4,0,1.0,3,3,0,96000.0,72720.0,71601.0,0.7575,0.9846122112211221,0.05593828125,188.128071,95.379813,283.507884,3.259354,57442.0,18314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v6,6,torus3d_xbiased,0.18,8,10000,8,4,4,0,1.0,3,1,0,115200.0,27322.0,25910.0,0.23717013888888888,0.94832003513652,0.0202421875,2562.289657,441.21594,3003.505596,3.889695,63591.0,18220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v6,6,torus3d_xbiased,0.18,8,10000,8,4,4,0,1.0,3,2,0,115200.0,27871.0,26470.0,0.24193576388888888,0.9497326970686376,0.0206796875,2476.096373,430.248206,2906.344579,3.870646,63650.0,18282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v6,6,torus3d_xbiased,0.18,8,10000,8,4,4,0,1.0,3,3,0,115200.0,26872.0,25468.0,0.23326388888888888,0.9477523072342959,0.019896875,2637.577391,450.975263,3088.552654,3.905764,63572.0,18277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v6,6,torus3d_xbiased,0.2,8,10000,8,4,4,0,1.0,3,1,0,128000.0,25831.0,24432.0,0.2018046875,0.9458402694436917,0.0190875,2952.23678,473.636542,3425.873322,3.943189,63505.0,18284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v6,6,torus3d_xbiased,0.2,8,10000,8,4,4,0,1.0,3,2,0,128000.0,25854.0,24442.0,0.201984375,0.9453856269822851,0.0190953125,2945.563538,474.818877,3420.382416,3.944767,63631.0,18367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v6,6,torus3d_xbiased,0.2,8,10000,8,4,4,0,1.0,3,3,0,128000.0,25509.0,24101.0,0.1992890625,0.9448037947391117,0.01882890625,3016.530766,481.514294,3498.04506,3.958218,63508.0,18215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v6,6,torus3d_xbiased,0.25,8,10000,8,4,4,0,1.0,3,1,0,160000.0,24942.0,23534.0,0.1558875,0.9435490337583193,0.0183859375,3362.322895,495.850217,3858.173111,3.979944,63439.0,18232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
