pattern,injection_rate,offered_load,packets_injected,packets_received,throughput,delivery_ratio,queueing_latency,network_latency,packet_latency,average_hops,sim_ticks,sim_freq
uniform_random,0.01,0.005,3165.0,3162.0,0.004940625,0.9990521327014218,2.0,13.557559,15.557559,5.26945,10000.0,2000000000.0
uniform_random,0.02,0.01,6387.0,6382.0,0.009971875,0.9992171598559574,2.0,13.579285,15.579285,5.271702,10000.0,2000000000.0
uniform_random,0.03,0.015,9483.0,9471.0,0.0147984375,0.9987345776652958,2.0,13.614507,15.614507,5.280857,10000.0,2000000000.0
uniform_random,0.04,0.02,12618.0,12593.0,0.0196765625,0.9980187034395308,2.0,13.560947,15.560947,5.24728,10000.0,2000000000.0
uniform_random,0.05,0.025,15980.0,15955.0,0.0249296875,0.9984355444305382,2.0,13.526669,15.526669,5.221122,10000.0,2000000000.0
uniform_random,0.06,0.03,19131.0,19109.0,0.0298578125,0.9988500339762689,2.0,13.623738,15.623738,5.258779,10000.0,2000000000.0
uniform_random,0.07,0.035,22313.0,22280.0,0.0348125,0.9985210415452875,2.0,13.597756,15.597756,5.237522,10000.0,2000000000.0
uniform_random,0.08,0.04,25513.0,25486.0,0.039821875,0.9989417159879277,2.0,13.614298,15.614298,5.236169,10000.0,2000000000.0
uniform_random,0.09,0.045,28723.0,28679.0,0.0448109375,0.9984681265884483,2.0,13.644269,15.644269,5.242547,10000.0,2000000000.0
uniform_random,0.1,0.05,31970.0,31919.0,0.0498734375,0.9984047544573037,2.0,13.711394,15.711394,5.266832,10000.0,2000000000.0
uniform_random,0.11,0.055,35150.0,35109.0,0.0548578125,0.9988335704125177,2.0,13.705261,15.705261,5.253468,10000.0,2000000000.0
uniform_random,0.12,0.06,38312.0,38245.0,0.0597578125,0.998251200668198,2.0,13.728592,15.728592,5.257289,10000.0,2000000000.0
uniform_random,0.13,0.065,41441.0,41382.0,0.064659375,0.9985762891822109,2.0,13.700353,15.700353,5.232396,10000.0,2000000000.0
uniform_random,0.14,0.07,44515.0,44455.0,0.0694609375,0.9986521397281816,2.0,13.753414,15.753414,5.250995,10000.0,2000000000.0
uniform_random,0.15,0.075,47716.0,47649.0,0.0744515625,0.9985958588314192,2.0,13.745934,15.745934,5.241327,10000.0,2000000000.0
uniform_random,0.16,0.08,50920.0,50840.0,0.0794375,0.9984289080911233,2.0,13.812077,15.812077,5.2631,10000.0,2000000000.0
uniform_random,0.17,0.085,54190.0,54109.0,0.0845453125,0.9985052592729285,2.0,13.813913,15.813913,5.255041,10000.0,2000000000.0
uniform_random,0.18,0.09,57428.0,57352.0,0.0896125,0.9986766037473009,2.0,13.827853,15.827853,5.252999,10000.0,2000000000.0
uniform_random,0.19,0.095,60683.0,60581.0,0.0946578125,0.9983191338595653,2.0,13.869778,15.869778,5.26373,10000.0,2000000000.0
