experiment,pattern,parameter_value,injection_rate,offered_packet_load,offered_flit_load,inj_vnet,packet_size_bytes,flits_per_packet,vcs_per_vnet,router_latency,link_width_bits,packets_injected,packets_received,flits_injected,flits_received,packet_throughput,flit_throughput,delivery_ratio,queueing_latency,network_latency,packet_latency,flit_queueing_latency,flit_network_latency,flit_latency,average_hops,average_link_utilization,sim_ticks,sim_freq
vcs,uniform_random,1,0.01,0.005,0.005,0,8,1,1,1,128,3165.0,3162.0,3165.0,3162.0,0.004940625,0.004940625,0.9990521327014218,2.039216,13.705566,15.744782,2.039216,13.705566,15.744782,5.26945,2.2996,10000.0,2000000000.0
vcs,uniform_random,1,0.02,0.01,0.01,0,8,1,1,1,128,6387.0,6382.0,6387.0,6382.0,0.009971875,0.009971875,0.9992171598559574,2.088374,13.864463,15.952836,2.088374,13.864463,15.952836,5.271702,4.6424,10000.0,2000000000.0
vcs,uniform_random,1,0.03,0.015,0.015,0,8,1,1,1,128,9483.0,9471.0,9483.0,9471.0,0.0147984375,0.0147984375,0.9987345776652958,2.139373,14.067152,16.206525,2.139373,14.067152,16.206525,5.280857,6.9028,10000.0,2000000000.0
vcs,uniform_random,1,0.04,0.02,0.02,0,8,1,1,1,128,12618.0,12591.0,12618.0,12591.0,0.0196734375,0.0196734375,0.9978601997146933,2.187833,14.230879,16.418712,2.187833,14.230879,16.418712,5.247161,9.1386,10000.0,2000000000.0
vcs,uniform_random,1,0.05,0.025,0.025,0,8,1,1,1,128,15978.0,15954.0,15978.0,15954.0,0.024928125,0.024928125,0.9984979346601577,2.267519,14.451611,16.71913,2.267519,14.451611,16.71913,5.221136,11.5296,10000.0,2000000000.0
vcs,uniform_random,1,0.06,0.03,0.03,0,8,1,1,1,128,19130.0,19103.0,19130.0,19103.0,0.0298484375,0.0298484375,0.998588604286461,2.343087,14.879391,17.222478,2.343087,14.879391,17.222478,5.258336,13.8796,10000.0,2000000000.0
vcs,uniform_random,1,0.07,0.035,0.035,0,8,1,1,1,128,22312.0,22272.0,22312.0,22272.0,0.0348,0.0348,0.9982072427393331,2.437949,15.171516,17.609465,2.437949,15.171516,17.609465,5.236934,16.137,10000.0,2000000000.0
vcs,uniform_random,1,0.08,0.04,0.04,0,8,1,1,1,128,25512.0,25482.0,25512.0,25482.0,0.039815625,0.039815625,0.998824082784572,2.563849,15.731222,18.295071,2.563849,15.731222,18.295071,5.23601,18.4507,10000.0,2000000000.0
vcs,uniform_random,1,0.09,0.045,0.045,0,8,1,1,1,128,28721.0,28672.0,28721.0,28672.0,0.0448,0.0448,0.9982939312698026,2.759731,16.33946,19.099191,2.759731,16.33946,19.099191,5.242118,20.7869,10000.0,2000000000.0
vcs,uniform_random,1,0.1,0.05,0.05,0,8,1,1,1,128,31968.0,31912.0,31968.0,31912.0,0.0498625,0.0498625,0.9982482482482482,3.0319,17.243576,20.275476,3.0319,17.243576,20.275476,5.266295,23.2125,10000.0,2000000000.0
vcs,uniform_random,1,0.11,0.055,0.055,0,8,1,1,1,128,35148.0,35092.0,35148.0,35092.0,0.05483125,0.05483125,0.9984067372254467,3.902941,18.60974,22.512681,3.902941,18.60974,22.512681,5.253106,25.477,10000.0,2000000000.0
vcs,uniform_random,1,0.12,0.06,0.06,0,8,1,1,1,128,38283.0,38198.0,38283.0,38198.0,0.059684375,0.059684375,0.9977796933364679,6.31588,20.691843,27.007723,6.31588,20.691843,27.007723,5.257317,27.7515,10000.0,2000000000.0
vcs,uniform_random,1,0.13,0.065,0.065,0,8,1,1,1,128,41289.0,41182.0,41289.0,41182.0,0.064346875,0.064346875,0.9974085107413597,28.14601,24.594459,52.740469,28.14601,24.594459,52.740469,5.228376,29.804,10000.0,2000000000.0
vcs,uniform_random,1,0.14,0.07,0.07,0,8,1,1,1,128,43158.0,43023.0,43158.0,43023.0,0.0672234375,0.0672234375,0.9968719588488808,161.282012,28.843223,190.125235,161.282012,28.843223,190.125235,5.221812,31.1167,10000.0,2000000000.0
vcs,uniform_random,1,0.15,0.075,0.075,0,8,1,1,1,128,43870.0,43721.0,43870.0,43721.0,0.0683140625,0.0683140625,0.9966036015500342,338.401134,31.488072,369.889207,338.401134,31.488072,369.889207,5.164612,31.3697,10000.0,2000000000.0
vcs,uniform_random,1,0.16,0.08,0.08,0,8,1,1,1,128,44159.0,43998.0,44159.0,43998.0,0.068746875,0.068746875,0.9963540841051655,524.049707,33.158053,557.207759,524.049707,33.158053,557.207759,5.16903,31.5905,10000.0,2000000000.0
vcs,uniform_random,1,0.17,0.085,0.085,0,8,1,1,1,128,44207.0,44057.0,44207.0,44057.0,0.0688390625,0.0688390625,0.9966068722148076,730.992918,33.667612,764.660531,730.992918,33.667612,764.660531,5.116122,31.3967,10000.0,2000000000.0
vcs,uniform_random,1,0.18,0.09,0.09,0,8,1,1,1,128,44231.0,44074.0,44231.0,44074.0,0.068865625,0.068865625,0.9964504533019828,935.056791,34.243409,969.3002,935.056791,34.243409,969.3002,5.098289,31.3332,10000.0,2000000000.0
vcs,uniform_random,1,0.19,0.095,0.095,0,8,1,1,1,128,43944.0,43790.0,43944.0,43790.0,0.068421875,0.068421875,0.9964955397778992,1096.858644,34.743983,1131.602626,1096.858644,34.743983,1131.602626,5.09251,31.1039,10000.0,2000000000.0
vcs,uniform_random,1,0.2,0.1,0.1,0,8,1,1,1,128,44192.0,44029.0,44192.0,44029.0,0.0687953125,0.0687953125,0.9963115496017378,1271.424107,34.793772,1306.217879,1271.424107,34.793772,1306.217879,5.094597,31.2838,10000.0,2000000000.0
vcs,uniform_random,1,0.21,0.105,0.105,0,8,1,1,1,128,44318.0,44163.0,44318.0,44163.0,0.0690046875,0.0690046875,0.9965025497540503,1402.107624,34.953173,1437.060798,1402.107624,34.953173,1437.060798,5.085388,31.337,10000.0,2000000000.0
vcs,uniform_random,1,0.22,0.11,0.11,0,8,1,1,1,128,44415.0,44263.0,44415.0,44263.0,0.0691609375,0.0691609375,0.9965777327479455,1561.078395,35.000316,1596.078711,1561.078395,35.000316,1596.078711,5.071166,31.3411,10000.0,2000000000.0
vcs,uniform_random,1,0.23,0.115,0.115,0,8,1,1,1,128,44199.0,44040.0,44199.0,44040.0,0.0688125,0.0688125,0.9964026335437454,1714.100795,35.02802,1749.128815,1714.100795,35.02802,1749.128815,5.063874,31.1569,10000.0,2000000000.0
vcs,uniform_random,1,0.24,0.12,0.12,0,8,1,1,1,128,44140.0,43979.0,44140.0,43979.0,0.0687171875,0.0687171875,0.9963525147258723,1848.441347,35.206735,1883.648082,1848.441347,35.206735,1883.648082,5.059847,31.0938,10000.0,2000000000.0
vcs,uniform_random,1,0.25,0.125,0.125,0,8,1,1,1,128,44100.0,43940.0,44100.0,43940.0,0.06865625,0.06865625,0.9963718820861678,1944.030155,35.121188,1979.151343,1944.030155,35.121188,1979.151343,5.071256,31.1197,10000.0,2000000000.0
vcs,uniform_random,1,0.26,0.13,0.13,0,8,1,1,1,128,44362.0,44196.0,44362.0,44196.0,0.06905625,0.06905625,0.9962580586988864,2070.513169,34.954362,2105.467531,2070.513169,34.954362,2105.467531,5.061024,31.2575,10000.0,2000000000.0
vcs,uniform_random,1,0.27,0.135,0.135,0,8,1,1,1,128,44465.0,44307.0,44465.0,44307.0,0.0692296875,0.0692296875,0.9964466434274148,2172.387298,34.934525,2207.321823,2172.387298,34.934525,2207.321823,5.077189,31.4038,10000.0,2000000000.0
vcs,uniform_random,1,0.28,0.14,0.14,0,8,1,1,1,128,44048.0,43886.0,44048.0,43886.0,0.068571875,0.068571875,0.9963221939702143,2292.039261,35.206353,2327.245614,2292.039261,35.206353,2327.245614,5.06387,31.0484,10000.0,2000000000.0
vcs,uniform_random,1,0.29,0.145,0.145,0,8,1,1,1,128,44647.0,44491.0,44647.0,44491.0,0.0695171875,0.0695171875,0.9965059242502295,2341.19541,34.831674,2376.027084,2341.19541,34.831674,2376.027084,5.069744,31.4974,10000.0,2000000000.0
vcs,uniform_random,1,0.3,0.15,0.15,0,8,1,1,1,128,43947.0,43792.0,43947.0,43792.0,0.068425,0.068425,0.9964730243247548,2488.328576,35.36856,2523.697136,2488.328576,35.36856,2523.697136,5.076955,31.0342,10000.0,2000000000.0
vcs,uniform_random,1,0.31,0.155,0.155,0,8,1,1,1,128,44537.0,44374.0,44537.0,44374.0,0.069334375,0.069334375,0.9963401216965669,2543.913891,34.979943,2578.893834,2543.913891,34.979943,2578.893834,5.071483,31.4308,10000.0,2000000000.0
vcs,uniform_random,1,0.32,0.16,0.16,0,8,1,1,1,128,44496.0,44328.0,44496.0,44328.0,0.0692625,0.0692625,0.9962243797195254,2586.818422,35.013738,2621.83216,2586.818422,35.013738,2621.83216,5.081935,31.4441,10000.0,2000000000.0
vcs,uniform_random,1,0.33,0.165,0.165,0,8,1,1,1,128,44018.0,43857.0,44018.0,43857.0,0.0685265625,0.0685265625,0.9963424053796174,2690.377819,35.2502,2725.628018,2690.377819,35.2502,2725.628018,5.062521,31.0226,10000.0,2000000000.0
vcs,uniform_random,1,0.34,0.17,0.17,0,8,1,1,1,128,44462.0,44302.0,44462.0,44302.0,0.069221875,0.069221875,0.9964014214385318,2741.618956,34.987111,2776.606067,2741.618956,34.987111,2776.606067,5.052029,31.2862,10000.0,2000000000.0
vcs,uniform_random,1,0.35,0.175,0.175,0,8,1,1,1,128,43967.0,43822.0,43967.0,43822.0,0.068471875,0.068471875,0.9967020720085519,2843.274383,35.28796,2878.562343,2843.274383,35.28796,2878.562343,5.06054,30.9784,10000.0,2000000000.0
vcs,uniform_random,1,0.36,0.18,0.18,0,8,1,1,1,128,44253.0,44098.0,44253.0,44098.0,0.068903125,0.068903125,0.9964974126047952,2865.894326,35.027235,2900.921561,2865.894326,35.027235,2900.921561,5.056896,31.1617,10000.0,2000000000.0
vcs,uniform_random,1,0.37,0.185,0.185,0,8,1,1,1,128,44324.0,44161.0,44324.0,44161.0,0.0690015625,0.0690015625,0.9963225340673224,2922.89373,35.148389,2958.042119,2922.89373,35.148389,2958.042119,5.053509,31.1948,10000.0,2000000000.0
vcs,uniform_random,1,0.38,0.19,0.19,0,8,1,1,1,128,44343.0,44179.0,44343.0,44179.0,0.0690296875,0.0690296875,0.9963015583068353,2957.265579,35.010457,2992.276036,2957.265579,35.010457,2992.276036,5.070644,31.2898,10000.0,2000000000.0
vcs,uniform_random,1,0.39,0.195,0.195,0,8,1,1,1,128,44166.0,44010.0,44166.0,44010.0,0.068765625,0.068765625,0.9964678712131504,3052.746126,35.077301,3087.823426,3052.746126,35.077301,3087.823426,5.072234,31.1722,10000.0,2000000000.0
vcs,uniform_random,1,0.4,0.2,0.2,0,8,1,1,1,128,44560.0,44398.0,44560.0,44398.0,0.069371875,0.069371875,0.9963644524236984,3071.361931,34.967453,3106.329384,3071.361931,34.967453,3106.329384,5.068336,31.4351,10000.0,2000000000.0
vcs,uniform_random,1,0.41,0.205,0.205,0,8,1,1,1,128,44102.0,43930.0,44102.0,43930.0,0.068640625,0.068640625,0.996099950115641,3157.291646,35.348714,3192.64036,3157.291646,35.348714,3192.64036,5.075415,31.136,10000.0,2000000000.0
vcs,uniform_random,1,0.42,0.21,0.21,0,8,1,1,1,128,44335.0,44165.0,44335.0,44165.0,0.0690078125,0.0690078125,0.9961655576858013,3140.927318,35.138413,3176.065731,3140.927318,35.138413,3176.065731,5.083007,31.3347,10000.0,2000000000.0
vcs,uniform_random,1,0.43,0.215,0.215,0,8,1,1,1,128,44203.0,44048.0,44203.0,44048.0,0.068825,0.068825,0.996493450670769,3191.262736,35.184208,3226.446944,3191.262736,35.184208,3226.446944,5.086224,31.2574,10000.0,2000000000.0
vcs,uniform_random,1,0.44,0.22,0.22,0,8,1,1,1,128,44478.0,44320.0,44478.0,44320.0,0.06925,0.06925,0.9964476820000899,3226.226737,34.989959,3261.216697,3226.226737,34.989959,3261.216697,5.080438,31.4313,10000.0,2000000000.0
vcs,uniform_random,1,0.45,0.225,0.225,0,8,1,1,1,128,44564.0,44405.0,44564.0,44405.0,0.0693828125,0.0693828125,0.9964320976573019,3257.703502,34.984326,3292.687828,3257.703502,34.984326,3292.687828,5.077829,31.4747,10000.0,2000000000.0
vcs,uniform_random,1,0.46,0.23,0.23,0,8,1,1,1,128,44234.0,44074.0,44234.0,44074.0,0.068865625,0.068865625,0.9963828729031966,3324.247879,35.198257,3359.446136,3324.247879,35.198257,3359.446136,5.072015,31.2161,10000.0,2000000000.0
vcs,uniform_random,1,0.47,0.235,0.235,0,8,1,1,1,128,43934.0,43776.0,43934.0,43776.0,0.0684,0.0684,0.9964036964537716,3375.990269,35.423428,3411.413697,3375.990269,35.423428,3411.413697,5.08411,31.0561,10000.0,2000000000.0
vcs,uniform_random,1,0.48,0.24,0.24,0,8,1,1,1,128,44480.0,44318.0,44480.0,44318.0,0.069246875,0.069246875,0.9963579136690648,3389.806038,34.997247,3424.803285,3389.806038,34.997247,3424.803285,5.075455,31.4065,10000.0,2000000000.0
vcs,uniform_random,1,0.49,0.245,0.245,0,8,1,1,1,128,44644.0,44471.0,44644.0,44471.0,0.0694859375,0.0694859375,0.9961248992025804,3398.553979,34.866003,3433.419982,3398.553979,34.866003,3433.419982,5.068022,31.4856,10000.0,2000000000.0
vcs,uniform_random,1,0.5,0.25,0.25,0,8,1,1,1,128,44093.0,43939.0,44093.0,43939.0,0.0686546875,0.0686546875,0.9965073821241467,3460.655909,35.212727,3495.868636,3460.655909,35.212727,3495.868636,5.067867,31.0985,10000.0,2000000000.0
vcs,uniform_random,2,0.01,0.005,0.005,0,8,1,2,1,128,3165.0,3162.0,3165.0,3162.0,0.004940625,0.004940625,0.9990521327014218,2.0,13.560089,15.560089,2.0,13.560089,15.560089,5.26945,2.2996,10000.0,2000000000.0
vcs,uniform_random,2,0.02,0.01,0.01,0,8,1,2,1,128,6387.0,6382.0,6387.0,6382.0,0.009971875,0.009971875,0.9992171598559574,2.001097,13.58383,15.584926,2.001097,13.58383,15.584926,5.271702,4.6424,10000.0,2000000000.0
vcs,uniform_random,2,0.03,0.015,0.015,0,8,1,2,1,128,9483.0,9471.0,9483.0,9471.0,0.0147984375,0.0147984375,0.9987345776652958,2.001056,13.625488,15.626544,2.001056,13.625488,15.626544,5.280857,6.9031,10000.0,2000000000.0
vcs,uniform_random,2,0.04,0.02,0.02,0,8,1,2,1,128,12618.0,12593.0,12618.0,12593.0,0.0196765625,0.0196765625,0.9980187034395308,2.001826,13.579925,15.581752,2.001826,13.579925,15.581752,5.24728,9.1395,10000.0,2000000000.0
vcs,uniform_random,2,0.05,0.025,0.025,0,8,1,2,1,128,15980.0,15955.0,15980.0,15955.0,0.0249296875,0.0249296875,0.9984355444305382,2.002194,13.560514,15.562708,2.002194,13.560514,15.562708,5.221122,11.531,10000.0,2000000000.0
vcs,uniform_random,2,0.06,0.03,0.03,0,8,1,2,1,128,19131.0,19109.0,19131.0,19109.0,0.0298578125,0.0298578125,0.9988500339762689,2.003873,13.674604,15.678476,2.003873,13.674604,15.678476,5.258779,13.8817,10000.0,2000000000.0
vcs,uniform_random,2,0.07,0.035,0.035,0,8,1,2,1,128,22313.0,22280.0,22313.0,22280.0,0.0348125,0.0348125,0.9985210415452875,2.004443,13.663016,15.66746,2.004443,13.663016,15.66746,5.237522,16.1399,10000.0,2000000000.0
vcs,uniform_random,2,0.08,0.04,0.04,0,8,1,2,1,128,25513.0,25486.0,25513.0,25486.0,0.039821875,0.039821875,0.9989417159879277,2.006553,13.709174,15.715726,2.006553,13.709174,15.715726,5.236169,18.4527,10000.0,2000000000.0
vcs,uniform_random,2,0.09,0.045,0.045,0,8,1,2,1,128,28723.0,28678.0,28723.0,28678.0,0.044809375,0.044809375,0.9984333112836403,2.007567,13.758177,15.765744,2.007567,13.758177,15.765744,5.242381,20.7913,10000.0,2000000000.0
vcs,uniform_random,2,0.1,0.05,0.05,0,8,1,2,1,128,31970.0,31919.0,31970.0,31919.0,0.0498734375,0.0498734375,0.9984047544573037,2.010433,13.858172,15.868605,2.010433,13.858172,15.868605,5.266832,23.2156,10000.0,2000000000.0
vcs,uniform_random,2,0.11,0.055,0.055,0,8,1,2,1,128,35150.0,35108.0,35150.0,35108.0,0.05485625,0.05485625,0.9988051209103841,2.013473,13.883759,15.897231,2.013473,13.883759,15.897231,5.253589,25.4828,10000.0,2000000000.0
vcs,uniform_random,2,0.12,0.06,0.06,0,8,1,2,1,128,38312.0,38245.0,38312.0,38245.0,0.0597578125,0.0597578125,0.998251200668198,2.015531,13.941247,15.956779,2.015531,13.941247,15.956779,5.257289,27.7853,10000.0,2000000000.0
vcs,uniform_random,2,0.13,0.065,0.065,0,8,1,2,1,128,41441.0,41382.0,41441.0,41382.0,0.064659375,0.064659375,0.9985762891822109,2.018196,13.962012,15.980209,2.018196,13.962012,15.980209,5.232396,29.9572,10000.0,2000000000.0
vcs,uniform_random,2,0.14,0.07,0.07,0,8,1,2,1,128,44515.0,44454.0,44515.0,44454.0,0.069459375,0.069459375,0.9986296753903179,2.022563,14.057903,16.080465,2.022563,14.057903,16.080465,5.251024,32.2625,10000.0,2000000000.0
vcs,uniform_random,2,0.15,0.075,0.075,0,8,1,2,1,128,47716.0,47648.0,47716.0,47648.0,0.07445,0.07445,0.9985749015005448,2.025961,14.098178,16.12414,2.025961,14.098178,16.12414,5.241269,34.5314,10000.0,2000000000.0
vcs,uniform_random,2,0.16,0.08,0.08,0,8,1,2,1,128,50920.0,50839.0,50920.0,50839.0,0.0794359375,0.0794359375,0.9984092694422624,2.030803,14.237239,16.268042,2.030803,14.237239,16.268042,5.263125,36.9613,10000.0,2000000000.0
vcs,uniform_random,2,0.17,0.085,0.085,0,8,1,2,1,128,54190.0,54104.0,54190.0,54104.0,0.0845375,0.0845375,0.998412991326813,2.033935,14.304266,16.338201,2.033935,14.304266,16.338201,5.254898,39.2962,10000.0,2000000000.0
vcs,uniform_random,2,0.18,0.09,0.09,0,8,1,2,1,128,57428.0,57348.0,57428.0,57348.0,0.08960625,0.08960625,0.9986069513129484,2.040838,14.381426,16.422264,2.040838,14.381426,16.422264,5.25286,41.6268,10000.0,2000000000.0
vcs,uniform_random,2,0.19,0.095,0.095,0,8,1,2,1,128,60683.0,60579.0,60683.0,60579.0,0.0946546875,0.0946546875,0.9982861756999489,2.049489,14.513495,16.562984,2.049489,14.513495,16.562984,5.263573,44.0493,10000.0,2000000000.0
vcs,uniform_random,2,0.2,0.1,0.1,0,8,1,2,1,128,63801.0,63698.0,63801.0,63698.0,0.099528125,0.099528125,0.9983856052412972,2.054648,14.666426,16.721074,2.054648,14.666426,16.721074,5.264247,46.3155,10000.0,2000000000.0
vcs,uniform_random,2,0.21,0.105,0.105,0,8,1,2,1,128,67103.0,67003.0,67103.0,67003.0,0.1046921875,0.1046921875,0.9985097536622803,2.06143,14.752011,16.813441,2.06143,14.752011,16.813441,5.253735,48.6447,10000.0,2000000000.0
vcs,uniform_random,2,0.22,0.11,0.11,0,8,1,2,1,128,70205.0,70101.0,70205.0,70101.0,0.1095328125,0.1095328125,0.9985186240296275,2.077745,14.865893,16.943638,2.077745,14.865893,16.943638,5.231423,50.7373,10000.0,2000000000.0
vcs,uniform_random,2,0.23,0.115,0.115,0,8,1,2,1,128,73295.0,73169.0,73295.0,73169.0,0.1143265625,0.1143265625,0.9982809195715943,2.090366,15.109855,17.200221,2.090366,15.109855,17.200221,5.248343,53.0944,10000.0,2000000000.0
vcs,uniform_random,2,0.24,0.12,0.12,0,8,1,2,1,128,76648.0,76540.0,76648.0,76540.0,0.11959375,0.11959375,0.9985909612775284,2.10699,15.320969,17.427959,2.10699,15.320969,17.427959,5.247857,55.5183,10000.0,2000000000.0
vcs,uniform_random,2,0.25,0.125,0.125,0,8,1,2,1,128,79863.0,79717.0,79863.0,79717.0,0.1245578125,0.1245578125,0.9981718693262212,2.148688,15.600813,17.749501,2.148688,15.600813,17.749501,5.255968,57.9054,10000.0,2000000000.0
vcs,uniform_random,2,0.26,0.13,0.13,0,8,1,2,1,128,83161.0,83015.0,83161.0,83015.0,0.1297109375,0.1297109375,0.9982443693558278,2.168114,15.814612,17.982726,2.168114,15.814612,17.982726,5.241559,60.177,10000.0,2000000000.0
vcs,uniform_random,2,0.27,0.135,0.135,0,8,1,2,1,128,86358.0,86205.0,86358.0,86205.0,0.1346953125,0.1346953125,0.9982283054262489,2.352497,16.437469,18.789966,2.352497,16.437469,18.789966,5.248141,62.548,10000.0,2000000000.0
