experiment,pattern,parameter_value,low_load_latency,max_observed_throughput,max_at_injection_rate,latency_2x_rate,efficiency_90pct_rate
vcs,uniform_random,1,15.744782,0.0695171875,0.29,0.13,0.16
vcs,uniform_random,2,15.560089,0.1636125,0.44,0.31,0.36
vcs,uniform_random,4,15.557559,0.2489140625,0.5,nan,nan
vcs,uniform_random,8,15.557559,0.24891875,0.5,nan,nan
vcs,transpose,1,15.827564,0.0780328125,0.49,0.08,0.11
vcs,transpose,2,15.665926,0.13235625,0.5,0.15,0.21
vcs,transpose,4,15.662433,0.2024578125,0.5,0.3,0.41
vcs,transpose,8,15.662433,0.20245625,0.5,0.3,0.41
router_latency,uniform_random,1,15.557559,0.2489140625,0.5,nan,nan
router_latency,uniform_random,2,21.819102,0.2487390625,0.5,nan,nan
router_latency,uniform_random,4,34.348432,0.2144375,0.48,0.42,0.48
router_latency,transpose,1,15.662433,0.2024578125,0.5,0.3,0.41
router_latency,transpose,2,21.977771,0.1777375,0.5,0.24,0.33
router_latency,transpose,4,34.61602,0.143478125,0.5,0.18,0.23
link_width_control,uniform_random,64,15.557559,0.2489140625,0.5,nan,nan
link_width_control,uniform_random,128,15.557559,0.2489140625,0.5,nan,nan
link_width_control,uniform_random,256,15.557559,0.2489140625,0.5,nan,nan
link_width_control,transpose,64,15.662433,0.2024578125,0.5,0.3,0.41
link_width_control,transpose,128,15.662433,0.2024578125,0.5,0.3,0.41
link_width_control,transpose,256,15.662433,0.2024578125,0.5,0.3,0.41
link_width_data,uniform_random,64,27.03038,0.0399375,0.13,0.07,0.09
link_width_data,uniform_random,128,20.906388,0.07249375,0.17,0.14,0.16
link_width_data,uniform_random,256,17.741935,0.1206546875,0.29,0.23,0.27
link_width_data,transpose,64,27.474253,0.038096875,0.4,0.04,0.05
link_width_data,transpose,128,21.008257,0.0686109375,0.49,0.06,0.09
link_width_data,transpose,256,17.815815,0.1011984375,0.5,0.1,0.14
