topology,injection_rate,offered_load,expected_generated,packets_injected,packets_received,flits_injected,flits_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,average_link_utilization,sim_ticks,sim_freq
ring,0.01,0.005,800.0,795.0,795.0,795.0,795.0,0.99375,1.0,0.00496875,2.0,11.158491,13.158491,4.071698,0.4827,10000.0,2000000000.0
ring,0.02,0.01,1600.0,1598.0,1597.0,1598.0,1597.0,0.99875,0.9993742177722152,0.00998125,2.0,11.016907,13.016907,3.992486,0.9572,10000.0,2000000000.0
ring,0.03,0.015,2400.0,2373.0,2367.0,2373.0,2367.0,0.98875,0.9974715549936789,0.01479375,2.0,11.154626,13.154626,4.053654,1.4347,10000.0,2000000000.0
ring,0.04,0.02,3200.0,3153.0,3145.0,3153.0,3145.0,0.9853125,0.9974627339042182,0.01965625,2.0,10.983466,12.983466,3.960254,1.878,10000.0,2000000000.0
ring,0.05,0.025,4000.0,3945.0,3945.0,3945.0,3945.0,0.98625,1.0,0.02465625,2.0,10.989607,12.989607,3.953359,2.3486,10000.0,2000000000.0
ring,0.06,0.03,4800.0,4704.0,4700.0,4704.0,4700.0,0.98,0.9991496598639455,0.029375,2.0,11.16234,13.16234,4.03234,2.8374,10000.0,2000000000.0
ring,0.07,0.035,5600.000000000001,5562.0,5554.0,5562.0,5554.0,0.9932142857142856,0.998561668464581,0.0347125,2.0,11.043212,13.043212,3.961469,3.315,10000.0,2000000000.0
ring,0.08,0.04,6400.0,6305.0,6292.0,6305.0,6292.0,0.98515625,0.9979381443298969,0.039325,2.0,11.073427,13.073427,3.971551,3.763,10000.0,2000000000.0
ring,0.09,0.045,7200.0,7129.0,7118.0,7129.0,7118.0,0.9901388888888889,0.99845700659279,0.0444875,2.0,11.154397,13.154397,4.001686,4.2757,10000.0,2000000000.0
ring,0.1,0.05,8000.0,7982.0,7972.0,7982.0,7972.0,0.99775,0.9987471811576046,0.049825,2.0,11.106623,13.106623,3.96864,4.7627,10000.0,2000000000.0
ring,0.11,0.055,8800.0,8820.0,8806.0,8820.0,8806.0,1.0022727272727272,0.9984126984126984,0.0550375,2.0,11.198955,13.198955,4.002725,5.2915,10000.0,2000000000.0
ring,0.12,0.06,9600.0,9570.0,9559.0,9570.0,9559.0,0.996875,0.9988505747126437,0.05974375,2.0,11.245632,13.245632,4.015692,5.7533,10000.0,2000000000.0
ring,0.13,0.065,10400.0,10369.0,10353.0,10369.0,10353.0,0.9970192307692308,0.9984569389526473,0.06470625,2.0,11.278953,13.278953,4.028977,6.2493,10000.0,2000000000.0
ring,0.14,0.07,11200.000000000002,11081.0,11069.0,11081.0,11069.0,0.9893749999999999,0.9989170652468189,0.06918125,2.0,11.301202,13.301202,4.032794,6.6826,10000.0,2000000000.0
ring,0.15,0.075,12000.0,11893.0,11880.0,11893.0,11880.0,0.9910833333333333,0.9989069200369965,0.07425,2.0,11.324663,13.324663,4.031145,7.1694,10000.0,2000000000.0
ring,0.16,0.08,12800.0,12725.0,12705.0,12725.0,12705.0,0.994140625,0.9984282907662082,0.07940625,2.0,11.232271,13.232271,3.975994,7.602,10000.0,2000000000.0
ring,0.17,0.085,13600.000000000002,13514.0,13500.0,13514.0,13500.0,0.9936764705882352,0.9989640372946574,0.084375,2.0,11.260815,13.260815,3.980296,8.0783,10000.0,2000000000.0
ring,0.18,0.09,14400.0,14346.0,14325.0,14346.0,14325.0,0.99625,0.9985361773316604,0.08953125,2.0,11.379686,13.379686,4.028272,8.6428,10000.0,2000000000.0
ring,0.19,0.095,15200.0,15102.0,15085.0,15102.0,15085.0,0.9935526315789474,0.9988743212819494,0.09428125,2.0,11.359496,13.359496,4.01286,9.0776,10000.0,2000000000.0
ring,0.2,0.1,16000.0,15856.0,15841.0,15856.0,15841.0,0.991,0.9990539858728557,0.09900625,2.0,11.420554,13.420554,4.029922,9.5583,10000.0,2000000000.0
ring,0.21,0.105,16800.0,16690.0,16675.0,16690.0,16675.0,0.993452380952381,0.9991012582384662,0.10421875,2.0,11.324078,13.324078,3.974753,9.9682,10000.0,2000000000.0
ring,0.22,0.11,17600.0,17486.0,17467.0,17486.0,17467.0,0.9935227272727273,0.9989134164474437,0.10916875,2.0,11.456747,13.456747,4.029942,10.5404,10000.0,2000000000.0
ring,0.23,0.115,18400.0,18294.0,18276.0,18294.0,18276.0,0.9942391304347826,0.9990160708428993,0.114225,2.0,11.384767,13.384767,3.981889,10.9394,10000.0,2000000000.0
ring,0.24,0.12,19200.0,19130.0,19111.0,19130.0,19111.0,0.9963541666666667,0.9990067956089911,0.11944375,2.0,11.404898,13.404898,3.985087,11.4474,10000.0,2000000000.0
ring,0.25,0.125,20000.0,19928.0,19903.0,19928.0,19903.0,0.9964,0.9987454837414693,0.12439375,2.0,11.497664,13.497664,4.014973,11.9815,10000.0,2000000000.0
ring,0.26,0.13,20800.0,20752.0,20726.0,20752.0,20726.0,0.9976923076923077,0.9987471087124132,0.1295375,2.0,11.511435,13.511435,4.004342,12.4546,10000.0,2000000000.0
ring,0.27,0.135,21600.0,21569.0,21537.0,21569.0,21537.0,0.9985648148148148,0.9985163892623673,0.13460625,2.0,11.549009,13.549009,4.010633,12.9576,10000.0,2000000000.0
