mode,injection_rate,offered_load,expected_generated,vcs_per_vnet,ctrl_depth,wormhole,packets_injected,packets_received,flits_injected,flits_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,average_link_utilization,sim_ticks,sim_freq
vc1_depth1,0.01,0.005,800.0,1,1,0,795.0,795.0,795.0,795.0,0.99375,1.0,0.00496875,2.047799,11.316981,13.36478,4.071698,0.4827,10000.0,2000000000.0
vc1_depth1,0.02,0.01,1600.0,1,1,0,1598.0,1596.0,1598.0,1596.0,0.99875,0.9987484355444305,0.009975,2.12782,11.276316,13.404135,3.994361,0.9572,10000.0,2000000000.0
vc1_depth1,0.03,0.015,2400.0,1,1,0,2373.0,2367.0,2373.0,2367.0,0.98875,0.9974715549936789,0.01479375,2.171525,11.557668,13.729193,4.053654,1.4345,10000.0,2000000000.0
vc1_depth1,0.04,0.02,3200.0,1,1,0,3153.0,3145.0,3153.0,3145.0,0.9853125,0.9974627339042182,0.01965625,2.215262,11.586963,13.802226,3.960254,1.8779,10000.0,2000000000.0
vc1_depth1,0.05,0.025,4000.0,1,1,0,3945.0,3943.0,3945.0,3943.0,0.98625,0.9994930291508238,0.02464375,2.288866,11.936089,14.224956,3.953335,2.3483,10000.0,2000000000.0
vc1_depth1,0.06,0.03,4800.0,1,1,0,4704.0,4699.0,4704.0,4699.0,0.98,0.998937074829932,0.02936875,2.345393,12.278357,14.62375,4.03256,2.8367,10000.0,2000000000.0
vc1_depth1,0.07,0.035,5600.000000000001,1,1,0,5562.0,5553.0,5562.0,5553.0,0.9932142857142856,0.9983818770226537,0.03470625,2.471817,12.742121,15.213938,3.961102,3.3143,10000.0,2000000000.0
vc1_depth1,0.08,0.04,6400.0,1,1,0,6300.0,6286.0,6300.0,6286.0,0.984375,0.9977777777777778,0.0392875,2.600859,13.05202,15.652879,3.971842,3.7591,10000.0,2000000000.0
vc1_depth1,0.09,0.045,7200.0,1,1,0,3370.0,3338.0,3370.0,3338.0,0.46805555555555556,0.9905044510385757,0.0208625,2.917016,14.151887,17.068904,3.994308,2.0078,10000.0,2000000000.0
vc1_depth1,0.1,0.05,8000.0,1,1,0,859.0,827.0,859.0,827.0,0.107375,0.9627473806752037,0.00516875,3.32769,15.214027,18.541717,3.828295,0.4892,10000.0,2000000000.0
vc1_depth1,0.11,0.055,8800.0,1,1,0,572.0,540.0,572.0,540.0,0.065,0.9440559440559441,0.003375,4.348148,16.948148,21.296296,3.95,0.3282,10000.0,2000000000.0
vc1_depth1,0.12,0.06,9600.0,1,1,0,125.0,93.0,125.0,93.0,0.013020833333333334,0.744,0.00058125,5.989247,16.913978,22.903226,3.537634,0.0592,10000.0,2000000000.0
vc1_depth1,0.13,0.065,10400.0,1,1,0,138.0,106.0,138.0,106.0,0.01326923076923077,0.7681159420289855,0.0006625,6.981132,22.320755,29.301887,4.009434,0.0711,10000.0,2000000000.0
vc1_depth1,0.14,0.07,11200.000000000002,1,1,0,173.0,141.0,173.0,141.0,0.01544642857142857,0.815028901734104,0.00088125,8.695035,24.248227,32.943262,4.0,0.0919,10000.0,2000000000.0
vc1_depth1,0.15,0.075,12000.0,1,1,0,105.0,73.0,105.0,73.0,0.00875,0.6952380952380952,0.00045625,4.342466,21.068493,25.410959,3.821918,0.0502,10000.0,2000000000.0
vc1_depth1,0.16,0.08,12800.0,1,1,0,92.0,60.0,92.0,60.0,0.0071875,0.6521739130434783,0.000375,4.083333,13.833333,17.916667,3.45,0.0402,10000.0,2000000000.0
vc1_depth1,0.17,0.085,13600.000000000002,1,1,0,94.0,62.0,94.0,62.0,0.006911764705882352,0.6595744680851063,0.0003875,4.145161,12.177419,16.322581,3.370968,0.041,10000.0,2000000000.0
vc1_depth1,0.18,0.09,14400.0,1,1,0,101.0,69.0,101.0,69.0,0.007013888888888889,0.6831683168316832,0.00043125,3.971014,12.014493,15.985507,3.347826,0.0446,10000.0,2000000000.0
vc1_depth1,0.19,0.095,15200.0,1,1,0,103.0,71.0,103.0,71.0,0.006776315789473684,0.6893203883495146,0.00044375,3.873239,12.183099,16.056338,3.225352,0.0445,10000.0,2000000000.0
vc1_depth1,0.2,0.1,16000.0,1,1,0,139.0,107.0,139.0,107.0,0.0086875,0.7697841726618705,0.00066875,7.46729,21.158879,28.626168,3.813084,0.0693,10000.0,2000000000.0
vc1_depth1,0.21,0.105,16800.0,1,1,0,91.0,59.0,91.0,59.0,0.005416666666666667,0.6483516483516484,0.00036875,6.152542,15.067797,21.220339,3.627119,0.0407,10000.0,2000000000.0
vc1_depth1,0.22,0.11,17600.0,1,1,0,78.0,46.0,78.0,46.0,0.004431818181818182,0.5897435897435898,0.0002875,4.0,11.456522,15.456522,3.152174,0.0315,10000.0,2000000000.0
vc1_depth1,0.23,0.115,18400.0,1,1,0,121.0,89.0,121.0,89.0,0.0065760869565217395,0.7355371900826446,0.00055625,7.011236,17.966292,24.977528,3.325843,0.0542,10000.0,2000000000.0
vc1_depth1,0.24,0.12,19200.0,1,1,0,98.0,66.0,98.0,66.0,0.005104166666666667,0.673469387755102,0.0004125,7.257576,19.787879,27.045455,3.378788,0.0422,10000.0,2000000000.0
vc1_depth1,0.25,0.125,20000.0,1,1,0,98.0,66.0,98.0,66.0,0.0049,0.673469387755102,0.0004125,9.893939,19.590909,29.484848,3.212121,0.042,10000.0,2000000000.0
vc1_depth1,0.26,0.13,20800.0,1,1,0,129.0,97.0,129.0,97.0,0.006201923076923077,0.751937984496124,0.00060625,13.886598,38.134021,52.020619,3.556701,0.0616,10000.0,2000000000.0
vc1_depth1,0.27,0.135,21600.0,1,1,0,105.0,73.0,105.0,73.0,0.004861111111111111,0.6952380952380952,0.00045625,8.684932,17.643836,26.328767,2.931507,0.0435,10000.0,2000000000.0
vc1_depth1,0.28,0.14,22400.000000000004,1,1,0,80.0,48.0,80.0,48.0,0.003571428571428571,0.6,0.0003,4.0625,11.0625,15.125,2.9375,0.0306,10000.0,2000000000.0
vc1_depth1,0.29,0.145,23200.0,1,1,0,88.0,56.0,88.0,56.0,0.003793103448275862,0.6363636363636364,0.00035,5.732143,14.625,20.357143,3.357143,0.0375,10000.0,2000000000.0
vc1_depth1,0.3,0.15,24000.0,1,1,0,115.0,83.0,115.0,83.0,0.004791666666666666,0.7217391304347827,0.00051875,12.626506,29.710843,42.337349,3.614458,0.0539,10000.0,2000000000.0
vc1_depth1,0.31,0.155,24800.0,1,1,0,103.0,71.0,103.0,71.0,0.004153225806451613,0.6893203883495146,0.00044375,9.28169,20.43662,29.71831,3.323944,0.0449,10000.0,2000000000.0
vc1_depth1,0.32,0.16,25600.0,1,1,0,104.0,72.0,104.0,72.0,0.0040625,0.6923076923076923,0.00045,9.027778,20.555556,29.583333,3.291667,0.045,10000.0,2000000000.0
vc1_depth1,0.33,0.165,26400.0,1,1,0,77.0,45.0,77.0,45.0,0.002916666666666667,0.5844155844155844,0.00028125,5.555556,15.822222,21.377778,3.0,0.0296,10000.0,2000000000.0
vc1_depth1,0.34,0.17,27200.000000000004,1,1,0,79.0,47.0,79.0,47.0,0.002904411764705882,0.5949367088607594,0.00029375,5.765957,17.085106,22.851064,3.085106,0.0313,10000.0,2000000000.0
vc1_depth1,0.35,0.175,28000.0,1,1,0,80.0,48.0,80.0,48.0,0.002857142857142857,0.6,0.0003,6.270833,18.791667,25.0625,3.354167,0.0326,10000.0,2000000000.0
vc1_depth1,0.36,0.18,28800.0,1,1,0,79.0,47.0,79.0,47.0,0.0027430555555555554,0.5949367088607594,0.00029375,6.574468,16.276596,22.851064,3.468085,0.0318,10000.0,2000000000.0
vc1_depth1,0.37,0.185,29600.0,1,1,0,102.0,70.0,102.0,70.0,0.003445945945945946,0.6862745098039216,0.0004375,15.485714,26.128571,41.614286,3.614286,0.0469,10000.0,2000000000.0
vc1_depth1,0.38,0.19,30400.0,1,1,0,77.0,45.0,77.0,45.0,0.002532894736842105,0.5844155844155844,0.00028125,7.133333,18.355556,25.488889,3.533333,0.0316,10000.0,2000000000.0
vc1_depth1,0.39,0.195,31200.0,1,1,0,77.0,45.0,77.0,45.0,0.002467948717948718,0.5844155844155844,0.00028125,7.133333,18.355556,25.488889,3.533333,0.0316,10000.0,2000000000.0
vc1_depth1,0.4,0.2,32000.0,1,1,0,75.0,43.0,75.0,43.0,0.00234375,0.5733333333333334,0.00026875,6.953488,17.744186,24.697674,3.302326,0.0299,10000.0,2000000000.0
vc1_depth1,0.41,0.205,32800.0,1,1,0,79.0,47.0,79.0,47.0,0.0024085365853658536,0.5949367088607594,0.00029375,5.765957,16.510638,22.276596,3.170213,0.031,10000.0,2000000000.0
vc1_depth1,0.42,0.21,33600.0,1,1,0,85.0,53.0,85.0,53.0,0.002529761904761905,0.6235294117647059,0.00033125,7.09434,13.415094,20.509434,2.981132,0.0334,10000.0,2000000000.0
vc1_depth1,0.43,0.215,34400.0,1,1,0,76.0,44.0,76.0,44.0,0.0022093023255813954,0.5789473684210527,0.000275,6.590909,13.022727,19.613636,3.068182,0.0291,10000.0,2000000000.0
vc1_depth1,0.44,0.22,35200.0,1,1,0,71.0,39.0,71.0,39.0,0.0020170454545454545,0.5492957746478874,0.00024375,6.179487,13.410256,19.589744,3.153846,0.0268,10000.0,2000000000.0
vc1_depth1,0.45,0.225,36000.0,1,1,0,71.0,39.0,71.0,39.0,0.0019722222222222224,0.5492957746478874,0.00024375,6.179487,13.410256,19.589744,3.153846,0.0268,10000.0,2000000000.0
vc1_depth1,0.46,0.23,36800.0,1,1,0,66.0,34.0,66.0,34.0,0.0017934782608695651,0.5151515151515151,0.0002125,6.794118,11.705882,18.5,2.882353,0.0231,10000.0,2000000000.0
vc1_depth1,0.47,0.235,37600.0,1,1,0,71.0,39.0,71.0,39.0,0.0018882978723404255,0.5492957746478874,0.00024375,7.179487,12.666667,19.846154,2.846154,0.0254,10000.0,2000000000.0
vc1_depth1,0.48,0.24,38400.0,1,1,0,78.0,46.0,78.0,46.0,0.00203125,0.5897435897435898,0.0002875,9.152174,12.413043,21.565217,2.934783,0.0292,10000.0,2000000000.0
vc1_depth1,0.49,0.245,39200.0,1,1,0,77.0,45.0,77.0,45.0,0.0019642857142857144,0.5844155844155844,0.00028125,10.044444,14.155556,24.2,3.022222,0.0297,10000.0,2000000000.0
vc1_depth1,0.5,0.25,40000.0,1,1,0,77.0,45.0,77.0,45.0,0.001925,0.5844155844155844,0.00028125,8.311111,15.266667,23.577778,3.066667,0.0293,10000.0,2000000000.0
vc16_depth1,0.01,0.005,800.0,16,1,0,795.0,795.0,795.0,795.0,0.99375,1.0,0.00496875,2.0,11.158491,13.158491,4.071698,0.4827,10000.0,2000000000.0
vc16_depth1,0.02,0.01,1600.0,16,1,0,1598.0,1597.0,1598.0,1597.0,0.99875,0.9993742177722152,0.00998125,2.0,11.016907,13.016907,3.992486,0.9572,10000.0,2000000000.0
vc16_depth1,0.03,0.015,2400.0,16,1,0,2373.0,2367.0,2373.0,2367.0,0.98875,0.9974715549936789,0.01479375,2.0,11.154626,13.154626,4.053654,1.4347,10000.0,2000000000.0
vc16_depth1,0.04,0.02,3200.0,16,1,0,3153.0,3145.0,3153.0,3145.0,0.9853125,0.9974627339042182,0.01965625,2.0,10.983466,12.983466,3.960254,1.878,10000.0,2000000000.0
vc16_depth1,0.05,0.025,4000.0,16,1,0,3945.0,3945.0,3945.0,3945.0,0.98625,1.0,0.02465625,2.0,10.989607,12.989607,3.953359,2.3486,10000.0,2000000000.0
vc16_depth1,0.06,0.03,4800.0,16,1,0,4704.0,4700.0,4704.0,4700.0,0.98,0.9991496598639455,0.029375,2.0,11.16234,13.16234,4.03234,2.8374,10000.0,2000000000.0
vc16_depth1,0.07,0.035,5600.000000000001,16,1,0,5562.0,5554.0,5562.0,5554.0,0.9932142857142856,0.998561668464581,0.0347125,2.0,11.043212,13.043212,3.961469,3.315,10000.0,2000000000.0
vc16_depth1,0.08,0.04,6400.0,16,1,0,6305.0,6292.0,6305.0,6292.0,0.98515625,0.9979381443298969,0.039325,2.0,11.073427,13.073427,3.971551,3.763,10000.0,2000000000.0
vc16_depth1,0.09,0.045,7200.0,16,1,0,7129.0,7118.0,7129.0,7118.0,0.9901388888888889,0.99845700659279,0.0444875,2.0,11.154397,13.154397,4.001686,4.2757,10000.0,2000000000.0
vc16_depth1,0.1,0.05,8000.0,16,1,0,7982.0,7972.0,7982.0,7972.0,0.99775,0.9987471811576046,0.049825,2.0,11.106623,13.106623,3.96864,4.7627,10000.0,2000000000.0
vc16_depth1,0.11,0.055,8800.0,16,1,0,8820.0,8806.0,8820.0,8806.0,1.0022727272727272,0.9984126984126984,0.0550375,2.0,11.198955,13.198955,4.002725,5.2915,10000.0,2000000000.0
vc16_depth1,0.12,0.06,9600.0,16,1,0,9570.0,9559.0,9570.0,9559.0,0.996875,0.9988505747126437,0.05974375,2.0,11.245528,13.245528,4.015692,5.7533,10000.0,2000000000.0
vc16_depth1,0.13,0.065,10400.0,16,1,0,10369.0,10353.0,10369.0,10353.0,0.9970192307692308,0.9984569389526473,0.06470625,2.0,11.278953,13.278953,4.028977,6.2493,10000.0,2000000000.0
vc16_depth1,0.14,0.07,11200.000000000002,16,1,0,11081.0,11069.0,11081.0,11069.0,0.9893749999999999,0.9989170652468189,0.06918125,2.0,11.301202,13.301202,4.032794,6.6826,10000.0,2000000000.0
vc16_depth1,0.15,0.075,12000.0,16,1,0,11893.0,11880.0,11893.0,11880.0,0.9910833333333333,0.9989069200369965,0.07425,2.0,11.325084,13.325084,4.031145,7.1694,10000.0,2000000000.0
vc16_depth1,0.16,0.08,12800.0,16,1,0,12725.0,12705.0,12725.0,12705.0,0.994140625,0.9984282907662082,0.07940625,2.0,11.232428,13.232428,3.975994,7.602,10000.0,2000000000.0
vc16_depth1,0.17,0.085,13600.000000000002,16,1,0,13514.0,13500.0,13514.0,13500.0,0.9936764705882352,0.9989640372946574,0.084375,2.0,11.261037,13.261037,3.980296,8.0783,10000.0,2000000000.0
vc16_depth1,0.18,0.09,14400.0,16,1,0,14346.0,14325.0,14346.0,14325.0,0.99625,0.9985361773316604,0.08953125,2.0,11.379616,13.379616,4.028272,8.6428,10000.0,2000000000.0
vc16_depth1,0.19,0.095,15200.0,16,1,0,15102.0,15085.0,15102.0,15085.0,0.9935526315789474,0.9988743212819494,0.09428125,2.0,11.358966,13.358966,4.01286,9.0776,10000.0,2000000000.0
vc16_depth1,0.2,0.1,16000.0,16,1,0,15856.0,15841.0,15856.0,15841.0,0.991,0.9990539858728557,0.09900625,2.0,11.420365,13.420365,4.029922,9.5583,10000.0,2000000000.0
vc16_depth1,0.21,0.105,16800.0,16,1,0,16690.0,16675.0,16690.0,16675.0,0.993452380952381,0.9991012582384662,0.10421875,2.0,11.323478,13.323478,3.974753,9.9682,10000.0,2000000000.0
vc16_depth1,0.22,0.11,17600.0,16,1,0,17486.0,17467.0,17486.0,17467.0,0.9935227272727273,0.9989134164474437,0.10916875,2.0,11.456804,13.456804,4.029942,10.5404,10000.0,2000000000.0
vc16_depth1,0.23,0.115,18400.0,16,1,0,18294.0,18276.0,18294.0,18276.0,0.9942391304347826,0.9990160708428993,0.114225,2.0,11.383673,13.383673,3.981889,10.9394,10000.0,2000000000.0
vc16_depth1,0.24,0.12,19200.0,16,1,0,19130.0,19111.0,19130.0,19111.0,0.9963541666666667,0.9990067956089911,0.11944375,2.0,11.404845,13.404845,3.985087,11.4474,10000.0,2000000000.0
vc16_depth1,0.25,0.125,20000.0,16,1,0,19928.0,19903.0,19928.0,19903.0,0.9964,0.9987454837414693,0.12439375,2.0,11.497061,13.497061,4.014973,11.9815,10000.0,2000000000.0
vc16_depth1,0.26,0.13,20800.0,16,1,0,20752.0,20726.0,20752.0,20726.0,0.9976923076923077,0.9987471087124132,0.1295375,2.0,11.511001,13.511001,4.004342,12.4546,10000.0,2000000000.0
vc16_depth1,0.27,0.135,21600.0,16,1,0,21569.0,21537.0,21569.0,21537.0,0.9985648148148148,0.9985163892623673,0.13460625,2.0,11.547662,13.547662,4.010633,12.9576,10000.0,2000000000.0
vc16_depth1,0.28,0.14,22400.000000000004,16,1,0,22356.0,22325.0,22356.0,22325.0,0.9980357142857141,0.998613347647164,0.13953125,2.0,11.536529,13.536529,3.996596,13.3991,10000.0,2000000000.0
vc16_depth1,0.29,0.145,23200.0,16,1,0,23168.0,23141.0,23168.0,23141.0,0.9986206896551724,0.9988345994475138,0.14463125,2.0,11.5546,13.5546,3.993648,13.8791,10000.0,2000000000.0
vc16_depth1,0.3,0.15,24000.0,16,1,0,23980.0,23952.0,23980.0,23952.0,0.9991666666666666,0.9988323603002502,0.1497,2.0,11.531563,13.531563,3.970023,14.3099,10000.0,2000000000.0
vc16_depth1,0.31,0.155,24800.0,16,1,0,24784.0,24751.0,24784.0,24751.0,0.9993548387096775,0.9986684958037444,0.15469375,2.0,11.638439,13.638439,4.013292,14.8957,10000.0,2000000000.0
vc16_depth1,0.32,0.16,25600.0,16,1,0,25570.0,25537.0,25570.0,25537.0,0.998828125,0.9987094251075479,0.15960625,2.0,11.634295,13.634295,3.996985,15.3251,10000.0,2000000000.0
vc16_depth1,0.33,0.165,26400.0,16,1,0,26354.0,26321.0,26354.0,26321.0,0.9982575757575758,0.99874781816802,0.16450625,2.0,11.649595,13.649595,3.984081,15.7641,10000.0,2000000000.0
vc16_depth1,0.34,0.17,27200.000000000004,16,1,0,27114.0,27084.0,27114.0,27084.0,0.9968382352941175,0.9988935605222394,0.169275,2.0,11.741065,13.741065,4.008307,16.2841,10000.0,2000000000.0
vc16_depth1,0.35,0.175,28000.0,16,1,0,27929.0,27895.0,27929.0,27895.0,0.9974642857142857,0.998782627376562,0.17434375,2.0,11.731959,13.731959,3.988744,16.7161,10000.0,2000000000.0
vc16_depth1,0.36,0.18,28800.0,16,1,0,28652.0,28619.0,28652.0,28619.0,0.9948611111111111,0.998848247940807,0.17886875,2.0,11.833712,13.833712,4.017541,17.2349,10000.0,2000000000.0
vc16_depth1,0.37,0.185,29600.0,16,1,0,29462.0,29425.0,29462.0,29425.0,0.9953378378378378,0.9987441450003394,0.18390625,2.0,11.777842,13.777842,3.98712,17.6287,10000.0,2000000000.0
vc16_depth1,0.38,0.19,30400.0,16,1,0,30316.0,30279.0,30316.0,30279.0,0.9972368421052632,0.998779522364428,0.18924375,2.0,11.835265,13.835265,3.992338,18.1588,10000.0,2000000000.0
vc16_depth1,0.39,0.195,31200.0,16,1,0,31100.0,31056.0,31100.0,31056.0,0.9967948717948718,0.9985852090032155,0.1941,2.0,11.932573,13.932573,4.011399,18.6852,10000.0,2000000000.0
vc16_depth1,0.4,0.2,32000.0,16,1,0,31925.0,31892.0,31925.0,31892.0,0.99765625,0.9989663273296789,0.199325,2.0,11.924025,13.924025,3.995673,19.1346,10000.0,2000000000.0
vc16_depth1,0.41,0.205,32800.0,16,1,0,32708.0,32661.0,32708.0,32661.0,0.9971951219512195,0.9985630426806897,0.20413125,2.0,11.967086,13.967086,3.993999,19.5929,10000.0,2000000000.0
vc16_depth1,0.42,0.21,33600.0,16,1,0,33496.0,33454.0,33496.0,33454.0,0.996904761904762,0.9987461189395749,0.2090875,2.0,12.059216,14.059216,4.009057,20.1171,10000.0,2000000000.0
vc16_depth1,0.43,0.215,34400.0,16,1,0,34349.0,34306.0,34349.0,34306.0,0.9985174418604651,0.998748144050773,0.2144125,2.0,12.086311,14.086311,3.995424,20.5831,10000.0,2000000000.0
vc16_depth1,0.44,0.22,35200.0,16,1,0,35168.0,35125.0,35168.0,35125.0,0.9990909090909091,0.9987772975432211,0.21953125,2.0,12.150633,14.150633,3.986107,21.0431,10000.0,2000000000.0
vc16_depth1,0.45,0.225,36000.0,16,1,0,35927.0,35881.0,35927.0,35881.0,0.9979722222222223,0.9987196259080914,0.22425625,2.0,12.246119,14.246119,4.015579,21.6033,10000.0,2000000000.0
vc16_depth1,0.46,0.23,36800.0,16,1,0,36689.0,36636.0,36689.0,36636.0,0.9969836956521739,0.9985554253318434,0.228975,2.0,12.237308,14.237308,3.998308,21.995,10000.0,2000000000.0
vc16_depth1,0.47,0.235,37600.0,16,1,0,37457.0,37401.0,37457.0,37401.0,0.9961968085106383,0.998504952345356,0.23375625,2.0,12.329162,14.329162,4.004706,22.4765,10000.0,2000000000.0
vc16_depth1,0.48,0.24,38400.0,16,1,0,38210.0,38164.0,38210.0,38164.0,0.9950520833333333,0.9987961266684114,0.238525,2.0,12.418405,14.418405,4.019049,22.9859,10000.0,2000000000.0
vc16_depth1,0.49,0.245,39200.0,16,1,0,39013.0,38950.0,39013.0,38950.0,0.9952295918367347,0.9983851536667264,0.2434375,2.0,12.454608,14.454608,3.999384,23.3907,10000.0,2000000000.0
vc16_depth1,0.5,0.25,40000.0,16,1,0,39773.0,39718.0,39773.0,39718.0,0.994325,0.9986171523395269,0.2482375,2.0,12.594114,14.594114,4.001788,23.8581,10000.0,2000000000.0
vc1_depth16_wormhole,0.01,0.005,800.0,1,16,1,795.0,795.0,795.0,795.0,0.99375,1.0,0.00496875,2.0,11.158491,13.158491,4.071698,0.4827,10000.0,2000000000.0
vc1_depth16_wormhole,0.02,0.01,1600.0,1,16,1,1598.0,1597.0,1598.0,1597.0,0.99875,0.9993742177722152,0.00998125,2.0,11.016907,13.016907,3.992486,0.9572,10000.0,2000000000.0
vc1_depth16_wormhole,0.03,0.015,2400.0,1,16,1,2373.0,2367.0,2373.0,2367.0,0.98875,0.9974715549936789,0.01479375,2.0,11.154626,13.154626,4.053654,1.4347,10000.0,2000000000.0
vc1_depth16_wormhole,0.04,0.02,3200.0,1,16,1,3153.0,3145.0,3153.0,3145.0,0.9853125,0.9974627339042182,0.01965625,2.0,10.983466,12.983466,3.960254,1.878,10000.0,2000000000.0
vc1_depth16_wormhole,0.05,0.025,4000.0,1,16,1,3945.0,3945.0,3945.0,3945.0,0.98625,1.0,0.02465625,2.0,10.989607,12.989607,3.953359,2.3486,10000.0,2000000000.0
vc1_depth16_wormhole,0.06,0.03,4800.0,1,16,1,4704.0,4700.0,4704.0,4700.0,0.98,0.9991496598639455,0.029375,2.0,11.162766,13.162766,4.03234,2.8374,10000.0,2000000000.0
vc1_depth16_wormhole,0.07,0.035,5600.000000000001,1,16,1,5562.0,5554.0,5562.0,5554.0,0.9932142857142856,0.998561668464581,0.0347125,2.0,11.043752,13.043752,3.961469,3.315,10000.0,2000000000.0
vc1_depth16_wormhole,0.08,0.04,6400.0,1,16,1,6305.0,6292.0,6305.0,6292.0,0.98515625,0.9979381443298969,0.039325,2.0,11.073268,13.073268,3.971551,3.763,10000.0,2000000000.0
vc1_depth16_wormhole,0.09,0.045,7200.0,1,16,1,7129.0,7118.0,7129.0,7118.0,0.9901388888888889,0.99845700659279,0.0444875,2.0,11.154257,13.154257,4.001686,4.2757,10000.0,2000000000.0
vc1_depth16_wormhole,0.1,0.05,8000.0,1,16,1,7982.0,7972.0,7982.0,7972.0,0.99775,0.9987471811576046,0.049825,2.0,11.106749,13.106749,3.96864,4.7627,10000.0,2000000000.0
vc1_depth16_wormhole,0.11,0.055,8800.0,1,16,1,8820.0,8806.0,8820.0,8806.0,1.0022727272727272,0.9984126984126984,0.0550375,2.0,11.197138,13.197138,4.002725,5.2915,10000.0,2000000000.0
vc1_depth16_wormhole,0.12,0.06,9600.0,1,16,1,9570.0,9559.0,9570.0,9559.0,0.996875,0.9988505747126437,0.05974375,2.0,11.245109,13.245109,4.015692,5.7533,10000.0,2000000000.0
