mode,pattern,injection_rate,offered_load,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,average_link_utilization,adaptive_hops,escape_hops,escape_transitions,escape_hop_fraction,sim_ticks,sim_freq
mesh3d_xyz,uniform_random,0.02,0.01,6400.0,6387.0,6382.0,0.99796875,0.9992171598559574,0.009971875,2.0,10.594798,12.594798,3.786431,3.6945,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.04,0.02,12800.0,12618.0,12598.0,0.98578125,0.9984149627516247,0.019684375,2.0,10.54588,12.54588,3.753056,7.256,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.06,0.03,19200.0,19131.0,19118.0,0.99640625,0.9993204746223407,0.029871875,2.0,10.568888,12.568888,3.755518,11.0079,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.08,0.04,25600.0,25513.0,25490.0,0.9966015625,0.999098498804531,0.039828125,2.0,10.592115,12.592115,3.754767,14.677,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.1,0.05,32000.0,31970.0,31927.0,0.9990625,0.9986549890522365,0.0498859375,2.0,10.627839,12.627839,3.761957,18.4094,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.12,0.06,38400.0,38312.0,38259.0,0.9977083333333333,0.9986166214240969,0.0597796875,2.0,10.628846,12.628846,3.753731,22.0318,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.14,0.07,44800.00000000001,44515.0,44472.0,0.9936383928571427,0.9990340334718634,0.0694875,2.0,10.643573,12.643573,3.751079,25.5912,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.16,0.08,51200.0,50920.0,50859.0,0.99453125,0.9988020424194816,0.0794671875,2.0,10.653926,12.653926,3.746358,29.2484,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.18,0.09,57600.0,57428.0,57367.0,0.9970138888888889,0.9989378003761231,0.0896359375,2.0,10.692663,12.692663,3.755731,33.039,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.2,0.1,64000.0,63801.0,63727.0,0.996890625,0.9988401435714174,0.0995734375,2.0,10.706718,12.706718,3.75337,36.6911,0.0,0.0,0.0,0.0,10000.0,2000000000.0
