mode,pattern,injection_rate,vcs_per_vnet,sim_cycles,deadlock,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,cbs_entry_blocks,cbs_mark_moves,sim_ticks
torus3d_dor,uniform_random,0.05,4,10000,0,16000.0,15980.0,15959.0,0.99875,0.998685857321652,0.0249359375,2.0,9.033022,11.033022,2.996804,0.0,0.0,10000.0
torus3d_dor,uniform_random,0.1,4,10000,0,32000.0,31970.0,31933.0,0.9990625,0.998842664998436,0.0498953125,2.0,9.103811,11.103811,3.008393,0.0,0.0,10000.0
torus3d_dor,uniform_random,0.15,4,10000,0,48000.0,47716.0,47665.0,0.9940833333333333,0.9989311761254087,0.0744765625,2.0,9.1319,11.1319,3.000399,0.0,0.0,10000.0
torus3d_dor,uniform_random,0.2,4,10000,0,64000.0,63801.0,63731.0,0.996890625,0.9989028385135029,0.0995796875,2.0,9.168003,11.168003,2.997693,0.0,0.0,10000.0
torus3d_dor,uniform_random,0.25,4,10000,0,80000.0,79865.0,79780.0,0.9983125,0.9989357040005008,0.12465625,2.0,9.218125,11.218125,3.001617,0.0,0.0,10000.0
torus3d_dor,uniform_random,0.3,4,10000,0,96000.0,96060.0,95966.0,1.000625,0.9990214449302519,0.149946875,2.0,9.272763,11.272763,3.005929,0.0,0.0,10000.0
torus3d_dor,uniform_random,0.35,4,10000,0,112000.0,111998.0,111892.0,0.9999821428571428,0.9990535545277595,0.17483125,2.0,9.297841,11.297841,2.997372,0.0,0.0,10000.0
torus3d_dor,uniform_random,0.4,4,10000,0,128000.0,127850.0,127721.0,0.998828125,0.9989910050840829,0.1995640625,2.0,9.342465,11.342465,2.997181,0.0,0.0,10000.0
torus3d_dor,uniform_random,0.45,4,10000,0,144000.0,143788.0,143651.0,0.9985277777777778,0.99904720839013,0.2244546875,2.0,9.409047,11.409047,3.004943,0.0,0.0,10000.0
torus3d_dor,uniform_random,0.5,4,10000,0,160000.0,159529.0,159392.0,0.99705625,0.9991412219721806,0.24905,2.0,9.447381,11.447381,2.998883,0.0,0.0,10000.0
torus3d_dor,uniform_random,0.55,4,10000,0,176000.0,175585.0,175414.0,0.9976420454545455,0.9990261127089444,0.274084375,2.0,9.499903,11.499903,2.998096,0.0,0.0,10000.0
torus3d_dor,uniform_random,0.6,4,10000,0,192000.0,191612.0,191409.0,0.9979791666666666,0.998940567396614,0.2990765625,2.0,9.560689,11.560689,2.998401,0.0,0.0,10000.0
torus3d_dor,uniform_random,0.65,4,10000,0,208000.0,207489.0,207277.0,0.9975432692307692,0.9989782590884336,0.3238703125,2.0,9.631189,11.631189,3.002243,0.0,0.0,10000.0
torus3d_dor,uniform_random,0.7,4,10000,0,224000.0,223803.0,223552.0,0.9991205357142857,0.9988784779471231,0.3493,2.0,9.709432,11.709432,3.006441,0.0,0.0,10000.0
torus3d_dor,uniform_random,0.75,4,10000,0,240000.0,239782.0,239518.0,0.9990916666666667,0.9988989999249318,0.374246875,2.000008,9.767571,11.767579,2.999328,0.0,0.0,10000.0
torus3d_dor,uniform_random,0.8,4,10000,0,256000.0,255570.0,255310.0,0.9983203125,0.9989826661971279,0.398921875,2.000039,9.859269,11.859308,3.000227,0.0,0.0,10000.0
torus3d_dor,uniform_random,0.85,4,10000,0,272000.0,271616.0,271339.0,0.9985882352941177,0.9989801778982093,0.4239671875,2.000037,9.963828,11.963864,3.00387,0.0,0.0,10000.0
torus3d_dor,uniform_random,0.9,4,10000,0,288000.0,287618.0,287309.0,0.9986736111111111,0.9989256583384907,0.4489203125,2.000171,10.055331,12.055501,2.99717,0.0,0.0,10000.0
torus3d_dor,uniform_random,0.95,4,10000,0,304000.0,303677.0,303344.0,0.9989375,0.9989034401683368,0.473975,2.000762,10.18866,12.189422,3.000827,0.0,0.0,10000.0
torus3d_dor,uniform_random,1.0,4,10000,0,320000.0,319599.0,319249.0,0.998746875,0.9989048776748363,0.4988265625,2.002468,10.340433,12.342902,2.998844,0.0,0.0,10000.0
torus3d_dor_cbs,uniform_random,0.05,4,10000,0,16000.0,15980.0,15959.0,0.99875,0.998685857321652,0.0249359375,2.0,9.033022,11.033022,2.996804,0.0,0.0,10000.0
torus3d_dor_cbs,uniform_random,0.1,4,10000,0,32000.0,31970.0,31933.0,0.9990625,0.998842664998436,0.0498953125,2.0,9.103842,11.103842,3.008393,1.0,1.0,10000.0
torus3d_dor_cbs,uniform_random,0.15,4,10000,0,48000.0,47716.0,47665.0,0.9940833333333333,0.9989311761254087,0.0744765625,2.0,9.132047,11.132047,3.000399,6.0,3.0,10000.0
torus3d_dor_cbs,uniform_random,0.2,4,10000,0,64000.0,63801.0,63731.0,0.996890625,0.9989028385135029,0.0995796875,2.0,9.168442,11.168442,2.997693,30.0,22.0,10000.0
torus3d_dor_cbs,uniform_random,0.25,4,10000,0,80000.0,79865.0,79780.0,0.9983125,0.9989357040005008,0.12465625,2.0,9.218902,11.218902,3.001617,55.0,27.0,10000.0
torus3d_dor_cbs,uniform_random,0.3,4,10000,0,96000.0,96060.0,95966.0,1.000625,0.9990214449302519,0.149946875,2.0,9.273795,11.273795,3.005929,111.0,49.0,10000.0
torus3d_dor_cbs,uniform_random,0.35,4,10000,0,112000.0,111998.0,111892.0,0.9999821428571428,0.9990535545277595,0.17483125,2.0,9.299762,11.299762,2.997372,219.0,96.0,10000.0
torus3d_dor_cbs,uniform_random,0.4,4,10000,0,128000.0,127850.0,127721.0,0.998828125,0.9989910050840829,0.1995640625,2.0,9.345112,11.345112,2.997181,353.0,169.0,10000.0
torus3d_dor_cbs,uniform_random,0.45,4,10000,0,144000.0,143788.0,143651.0,0.9985277777777778,0.99904720839013,0.2244546875,2.0,9.412333,11.412333,3.004943,548.0,287.0,10000.0
torus3d_dor_cbs,uniform_random,0.5,4,10000,0,160000.0,159529.0,159392.0,0.99705625,0.9991412219721806,0.24905,2.0,9.452043,11.452043,2.998883,830.0,411.0,10000.0
torus3d_dor_cbs,uniform_random,0.55,4,10000,0,176000.0,175585.0,175414.0,0.9976420454545455,0.9990261127089444,0.274084375,2.0,9.505883,11.505883,2.998102,1234.0,632.0,10000.0
torus3d_dor_cbs,uniform_random,0.6,4,10000,0,192000.0,191612.0,191409.0,0.9979791666666666,0.998940567396614,0.2990765625,2.0,9.569179,11.569179,2.998401,1866.0,864.0,10000.0
torus3d_dor_cbs,uniform_random,0.65,4,10000,0,208000.0,207489.0,207277.0,0.9975432692307692,0.9989782590884336,0.3238703125,2.000005,9.640751,11.640756,3.002243,2525.0,1210.0,10000.0
torus3d_dor_cbs,uniform_random,0.7,4,10000,0,224000.0,223803.0,223553.0,0.9991205357142857,0.9988829461624732,0.3493015625,2.000004,9.722978,11.722983,3.006446,3485.0,1568.0,10000.0
torus3d_dor_cbs,uniform_random,0.75,4,10000,0,240000.0,239782.0,239514.0,0.9990916666666667,0.9988823181056126,0.374240625,2.000025,9.78496,11.784985,2.999324,4572.0,2008.0,10000.0
torus3d_dor_cbs,uniform_random,0.8,4,10000,0,256000.0,255570.0,255309.0,0.9983203125,0.9989787533748092,0.3989203125,2.000074,9.881473,11.881547,3.000223,5975.0,2507.0,10000.0
torus3d_dor_cbs,uniform_random,0.85,4,10000,0,272000.0,271616.0,271340.0,0.9985882352941177,0.9989838595664468,0.42396875,2.000092,9.986338,11.98643,3.00387,7817.0,3206.0,10000.0
torus3d_dor_cbs,uniform_random,0.9,4,10000,0,288000.0,287618.0,287311.0,0.9986736111111111,0.9989326120062026,0.4489234375,2.000313,10.083241,12.083554,2.99717,9856.0,3925.0,10000.0
torus3d_dor_cbs,uniform_random,0.95,4,10000,0,304000.0,303677.0,303331.0,0.9989375,0.9988606315262598,0.4739546875,2.000584,10.218243,12.218827,3.000785,12422.0,4902.0,10000.0
torus3d_dor_cbs,uniform_random,1.0,4,10000,0,320000.0,319599.0,319249.0,0.998746875,0.9989048776748363,0.4988265625,2.004918,10.386905,12.391823,2.998844,16176.0,6059.0,10000.0
torus3d_adaptive_escape,uniform_random,0.05,4,10000,0,16000.0,15980.0,15959.0,0.99875,0.998685857321652,0.0249359375,2.0,9.039852,11.039852,2.996804,0.0,0.0,10000.0
torus3d_adaptive_escape,uniform_random,0.1,4,10000,0,32000.0,31970.0,31933.0,0.9990625,0.998842664998436,0.0498953125,2.0,9.113832,11.113832,3.008393,0.0,0.0,10000.0
torus3d_adaptive_escape,uniform_random,0.15,4,10000,0,48000.0,47716.0,47665.0,0.9940833333333333,0.9989311761254087,0.0744765625,2.0,9.140606,11.140606,3.000399,0.0,0.0,10000.0
torus3d_adaptive_escape,uniform_random,0.2,4,10000,0,64000.0,63801.0,63731.0,0.996890625,0.9989028385135029,0.0995796875,2.0,9.179599,11.179599,2.997725,0.0,0.0,10000.0
torus3d_adaptive_escape,uniform_random,0.25,4,10000,0,80000.0,79865.0,79781.0,0.9983125,0.9989482251299067,0.1246578125,2.000025,9.23112,11.231145,3.00168,0.0,0.0,10000.0
torus3d_adaptive_escape,uniform_random,0.3,4,10000,0,96000.0,96060.0,95966.0,1.000625,0.9990214449302519,0.149946875,2.000031,9.283142,11.283173,3.00595,0.0,0.0,10000.0
torus3d_adaptive_escape,uniform_random,0.35,4,10000,0,112000.0,111998.0,111892.0,0.9999821428571428,0.9990535545277595,0.17483125,2.000098,9.307806,11.307904,2.997515,0.0,0.0,10000.0
torus3d_adaptive_escape,uniform_random,0.4,4,10000,0,128000.0,127850.0,127720.0,0.998828125,0.998983183418068,0.1995625,2.000125,9.353719,11.353844,2.997314,0.0,0.0,10000.0
torus3d_adaptive_escape,uniform_random,0.45,4,10000,0,144000.0,143788.0,143652.0,0.9985277777777778,0.9990541630734137,0.22445625,2.000202,9.413235,11.413437,3.005158,0.0,0.0,10000.0
torus3d_adaptive_escape,uniform_random,0.5,4,10000,0,160000.0,159529.0,159391.0,0.99705625,0.9991349535194228,0.2490484375,2.000471,9.448915,11.449385,2.999247,0.0,0.0,10000.0
torus3d_adaptive_escape,uniform_random,0.55,4,10000,0,176000.0,175585.0,175417.0,0.9976420454545455,0.9990431984508927,0.2740890625,2.000621,9.498441,11.499062,2.998643,0.0,0.0,10000.0
torus3d_adaptive_escape,uniform_random,0.6,4,10000,0,192000.0,191612.0,191409.0,0.9979791666666666,0.998940567396614,0.2990765625,2.001217,9.553469,11.554687,2.998924,0.0,0.0,10000.0
torus3d_adaptive_escape,uniform_random,0.65,4,10000,0,208000.0,207489.0,207274.0,0.9975432692307692,0.9989638004906284,0.323865625,2.001693,9.61205,11.613743,3.002953,0.0,0.0,10000.0
torus3d_adaptive_escape,uniform_random,0.7,4,10000,0,224000.0,223803.0,223557.0,0.9991205357142857,0.9989008190238736,0.3493078125,2.002885,9.683705,11.68659,3.007743,0.0,0.0,10000.0
torus3d_adaptive_escape,uniform_random,0.75,4,10000,0,240000.0,239782.0,239522.0,0.9990916666666667,0.998915681744251,0.374253125,2.004492,9.731678,11.73617,3.000852,0.0,0.0,10000.0
torus3d_adaptive_escape,uniform_random,0.8,4,10000,0,256000.0,255570.0,255313.0,0.9983203125,0.9989944046640842,0.3989265625,2.006639,9.797652,11.804291,3.002334,0.0,0.0,10000.0
torus3d_adaptive_escape,uniform_random,0.85,4,10000,0,272000.0,271616.0,271343.0,0.9985882352941177,0.9989949045711592,0.4239734375,2.010452,9.877517,11.887968,3.006372,0.0,0.0,10000.0
torus3d_adaptive_escape,uniform_random,0.9,4,10000,0,288000.0,287617.0,287315.0,0.9986701388888889,0.9989499925247812,0.4489296875,2.013939,9.946738,11.960677,3.000428,0.0,0.0,10000.0
torus3d_adaptive_escape,uniform_random,0.95,4,10000,0,304000.0,303677.0,303354.0,0.9989375,0.9989363698930114,0.473990625,2.021622,10.036189,12.05781,3.004836,0.0,0.0,10000.0
torus3d_adaptive_escape,uniform_random,1.0,4,10000,0,320000.0,319599.0,319254.0,0.998746875,0.9989205222794815,0.498834375,2.03256,10.128747,12.161307,3.003868,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.05,4,10000,0,16000.0,15968.0,15957.0,0.998,0.9993111222444889,0.0249328125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.1,4,10000,0,32000.0,31948.0,31924.0,0.998375,0.9992487792663077,0.04988125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.15,4,10000,0,48000.0,47760.0,47729.0,0.995,0.9993509212730318,0.0745765625,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.2,4,10000,0,64000.0,63806.0,63763.0,0.99696875,0.9993260821866282,0.0996296875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.25,4,10000,0,80000.0,79713.0,79662.0,0.9964125,0.999360204734485,0.124471875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.3,4,10000,0,96000.0,95810.0,95751.0,0.9980208333333334,0.9993841978916606,0.1496109375,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.35,4,10000,0,112000.0,111703.0,111637.0,0.9973482142857143,0.9994091474714197,0.1744328125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.4,4,10000,0,128000.0,127637.0,127562.0,0.9971640625,0.9994123960920422,0.199315625,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.45,4,10000,0,144000.0,143553.0,143470.0,0.9968958333333333,0.9994218163326437,0.224171875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.5,4,10000,0,160000.0,159452.0,159359.0,0.996575,0.9994167523768909,0.2489984375,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.55,4,10000,0,176000.0,175634.0,175531.0,0.9979204545454545,0.9994135531844631,0.2742671875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.6,4,10000,0,192000.0,191507.0,191396.0,0.9974322916666667,0.9994203867221564,0.29905625,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.65,4,10000,0,208000.0,207649.0,207533.0,0.9983125,0.999441364995738,0.3242703125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.7,4,10000,0,224000.0,223725.0,223596.0,0.9987723214285714,0.9994233992624875,0.34936875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.75,4,10000,0,240000.0,239664.0,239523.0,0.9986,0.9994116763468857,0.3742546875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.8,4,10000,0,256000.0,255852.0,255701.0,0.999421875,0.9994098150493254,0.3995328125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.85,4,10000,0,272000.0,271674.0,271515.0,0.9988014705882353,0.9994147397248172,0.4242421875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.9,4,10000,0,288000.0,287669.0,287498.0,0.9988506944444444,0.9994055668146377,0.449215625,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.95,4,10000,0,304000.0,303819.0,303636.0,0.9994046052631579,0.9993976676903025,0.47443125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,1.0,4,10000,0,320000.0,319602.0,319411.0,0.99875625,0.9994023817122546,0.4990796875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor_cbs,torus3d_neighbor,0.05,4,10000,0,16000.0,15968.0,15957.0,0.998,0.9993111222444889,0.0249328125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
