mode,pattern,low_load_latency,max_stable_throughput,max_stable_rate,first_unstable_rate,deadlocks,max_dp_shared_grants,max_dp_pool_blocks,max_cbs_entry_blocks,max_escape_transitions
A1_cbs_v3,torus3d_xopposite,9.050771,0.264928125,0.55,0.6,0,0.0,0.0,319648.0,0.0
A2_dpcbs_v4_s2,torus3d_xopposite,9.049016,0.3201859375,0.65,0.7,0,254263.0,0.0,474896.0,0.0
A3_cbs_v4,torus3d_xopposite,9.049016,0.4105734375,0.9,0.95,0,0.0,0.0,291008.0,0.0
A4_dpcbs_v6_s4,torus3d_xopposite,9.048953,0.3993921875,0.8,0.85,0,474388.0,0.0,265471.0,0.0
B1_esc_v2,torus3d_xopposite,9.288266,0.1962109375,0.4,0.45,0,0.0,0.0,0.0,38043.0
B2_dpesc_v3_s2,torus3d_xopposite,9.033471,0.26898125,0.55,0.6,0,232975.0,0.0,0.0,98042.0
B3_esc_v3,torus3d_xopposite,9.027329,0.3989578125,0.85,0.9,0,0.0,0.0,0.0,17108.0
B4_dpesc_v5_s4,torus3d_xopposite,9.025574,0.484046875,1.0,nan,0,530966.0,0.0,0.0,113794.0
B5_esc_v4,torus3d_xopposite,9.025574,0.498978125,1.0,nan,0,0.0,0.0,0.0,3696.0
B6_dpesc_v7_s6,torus3d_xopposite,9.025574,0.4989796875,1.0,nan,0,638987.0,0.0,0.0,123.0
A1_cbs_v3,torus3d_tornado,11.0,0.4988796875,1.0,nan,0,0.0,0.0,0.0,0.0
A2_dpcbs_v4_s2,torus3d_tornado,11.0,0.4988796875,1.0,nan,0,958425.0,0.0,0.0,0.0
A3_cbs_v4,torus3d_tornado,11.0,0.4988796875,1.0,nan,0,0.0,0.0,0.0,0.0
A4_dpcbs_v6_s4,torus3d_tornado,11.0,0.4988796875,1.0,nan,0,958425.0,0.0,0.0,0.0
B1_esc_v2,torus3d_tornado,11.30679,0.195178125,0.4,0.45,0,0.0,0.0,0.0,53807.0
B2_dpesc_v3_s2,torus3d_tornado,11.049031,0.3806640625,0.8,0.85,0,657730.0,0.0,0.0,63393.0
