adaptive_vcs,escape_vcs,deadlock_free_guarantee,pattern,injection_rate,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,packet_latency,average_hops,adaptive_hops,escape_hops,escape_transitions,escape_hop_fraction
4,0,no,torus3d_transpose,0.3,95810.0,95709.0,0.9980208333333334,0.9989458302891139,0.1495453125,11.203513,3.001243,287439.0,0.0,0.0,0.0
4,0,no,torus3d_transpose,0.4,127637.0,127506.0,0.9971640625,0.9989736518407671,0.199228125,11.266427,3.000094,382790.0,0.0,0.0,0.0
4,0,no,torus3d_transpose,0.5,159452.0,159293.0,0.996575,0.9990028347088779,0.2488953125,11.324904,2.997608,477808.0,0.0,0.0,0.0
4,0,no,torus3d_transpose,0.75,239664.0,239418.0,0.9986,0.9989735629881834,0.374090625,11.52329,2.999282,718567.0,0.0,0.0,0.0
4,0,no,torus3d_transpose,1.0,319602.0,319274.0,0.99875625,0.9989737235686885,0.498865625,11.782037,2.999718,958362.0,0.0,0.0,0.0
3,1,yes,torus3d_transpose,0.3,95810.0,95709.0,0.9980208333333334,0.9989458302891139,0.1495453125,11.201632,3.001243,287438.0,1.0,1.0,3.4789990224012748e-06
3,1,yes,torus3d_transpose,0.4,127637.0,127506.0,0.9971640625,0.9989736518407671,0.199228125,11.26485,3.000094,382783.0,7.0,7.0,1.8286789101073696e-05
3,1,yes,torus3d_transpose,0.5,159452.0,159294.0,0.996575,0.9990091061886963,0.248896875,11.327709,2.99774,477777.0,51.0,31.0,0.00010673296667420076
3,1,yes,torus3d_transpose,0.75,239664.0,239417.0,0.9986,0.9989693904800053,0.3740890625,11.530785,3.000104,718194.0,570.0,372.0,0.0007930280314539961
3,1,yes,torus3d_transpose,1.0,319601.0,319270.0,0.998753125,0.9989643336535242,0.498859375,11.836035,3.003063,956142.0,3292.0,2189.0,0.003431189638891263
2,2,yes,torus3d_transpose,0.3,95809.0,95709.0,0.9980104166666667,0.9989562567190974,0.1495453125,11.297924,3.004023,286933.0,771.0,495.0,0.0026798376108778466
2,2,yes,torus3d_transpose,0.4,127634.0,127506.0,0.997140625,0.9989971324255292,0.199228125,11.456182,3.006462,381269.0,2322.0,1468.0,0.006053322418930579
2,2,yes,torus3d_transpose,0.5,159448.0,159285.0,0.99655,0.9989777231448498,0.2488828125,11.715943,3.009034,474240.0,5377.0,3376.0,0.011211028800063383
2,2,yes,torus3d_transpose,0.75,239425.0,239170.0,0.9976041666666666,0.9989349483136681,0.373703125,20.680441,3.032044,701751.0,23934.0,14799.0,0.03298125219620083
2,2,yes,torus3d_transpose,1.0,247492.0,247228.0,0.7734125,0.9989332988541044,0.38629375,1138.807125,3.030611,722894.0,26891.0,16593.0,0.03586494795174617
1,3,yes,torus3d_transpose,0.3,95759.0,95669.0,0.9974895833333334,0.9990601405612005,0.1494828125,16.102792,3.11106,264650.0,33181.0,18229.0,0.11140881909539302
1,3,yes,torus3d_transpose,0.4,125361.0,125228.0,0.9793828125,0.9989390639832165,0.19566875,122.215,3.144105,335524.0,58482.0,30626.0,0.1484292117378923
1,3,yes,torus3d_transpose,0.5,126692.0,126558.0,0.791825,0.998942316799798,0.197746875,1035.107358,3.143539,338768.0,59361.0,31015.0,0.14909991485171892
1,3,yes,torus3d_transpose,0.75,126748.0,126610.0,0.5281166666666667,0.9989112254236753,0.197828125,2365.773975,3.144649,338971.0,59466.0,31059.0,0.1492481872918429
1,3,yes,torus3d_transpose,1.0,126782.0,126646.0,0.39619375,0.9989272925178653,0.197884375,3023.314254,3.143834,339210.0,59220.0,30764.0,0.14863338604020782
4,0,no,torus3d_xopposite,0.3,95810.0,95731.0,0.9980208333333334,0.9991754514142573,0.1495796875,9.160011,2.0,191554.0,0.0,0.0,0.0
4,0,no,torus3d_xopposite,0.4,127637.0,127534.0,0.9971640625,0.9991930239664047,0.199271875,9.214351,2.0,255194.0,0.0,0.0,0.0
4,0,no,torus3d_xopposite,0.5,159452.0,159326.0,0.996575,0.9992097935428844,0.248946875,9.267646,2.0,318802.0,0.0,0.0,0.0
4,0,no,torus3d_xopposite,0.75,239664.0,239468.0,0.9986,0.9991821883970893,0.37416875,9.397477,2.0,479185.0,0.0,0.0,0.0
4,0,no,torus3d_xopposite,1.0,319602.0,319347.0,0.99875625,0.9992021326524866,0.4989796875,9.510044,2.0,639014.0,0.0,0.0,0.0
3,1,yes,torus3d_xopposite,0.3,95810.0,95731.0,0.9980208333333334,0.9991754514142573,0.1495796875,9.159687,2.0,191554.0,0.0,0.0,0.0
3,1,yes,torus3d_xopposite,0.4,127637.0,127533.0,0.9971640625,0.999185189247632,0.1992703125,9.215411,2.0,255190.0,4.0,4.0,1.567434971041639e-05
3,1,yes,torus3d_xopposite,0.5,159452.0,159326.0,0.996575,0.9992097935428844,0.248946875,9.267157,2.000113,318758.0,64.0,46.0,0.00020073897033454405
3,1,yes,torus3d_xopposite,0.75,239664.0,239471.0,0.9986,0.9991947059216236,0.3741734375,9.40384,2.001553,478078.0,1481.0,1102.0,0.0030882540000291936
3,1,yes,torus3d_xopposite,1.0,319602.0,319346.0,0.99875625,0.9991990037609276,0.498978125,9.511001,2.000388,638585.0,553.0,409.0,0.0008652278537655405
2,2,yes,torus3d_xopposite,0.3,95809.0,95731.0,0.9980104166666667,0.9991858802408959,0.1495796875,9.258829,2.004199,190653.0,1301.0,877.0,0.006777665482355148
2,2,yes,torus3d_xopposite,0.4,127635.0,127531.0,0.9971484375,0.9991851764798056,0.1992671875,9.420329,2.010648,252390.0,4158.0,2714.0,0.01620749333458066
2,2,yes,torus3d_xopposite,0.5,159449.0,159322.0,0.99655625,0.9992035070774982,0.248940625,9.669895,2.017261,312519.0,9027.0,6030.0,0.028073743725625572
2,2,yes,torus3d_xopposite,0.75,239508.0,239311.0,0.99795,0.9991774805016952,0.3739234375,16.505953,2.03236,460051.0,26570.0,17469.0,0.05460101393075926
2,2,yes,torus3d_xopposite,1.0,255977.0,255734.0,0.799928125,0.9990506959609653,0.399584375,1004.009784,2.000023,511759.0,21.0,12.0,4.103325647739263e-05
1,3,yes,torus3d_xopposite,0.3,95760.0,95684.0,0.9975,0.9992063492063492,0.14950625,14.143504,2.125392,160089.0,43397.0,28480.0,0.21326774323540687
1,3,yes,torus3d_xopposite,0.4,125763.0,125653.0,0.9825234375,0.9991253389311642,0.1963328125,108.484039,2.144398,211549.0,58055.0,37055.0,0.21533434222044184
1,3,yes,torus3d_xopposite,0.5,127787.0,127676.0,0.79866875,0.9991313670404658,0.19949375,1002.357475,2.150929,228278.0,46500.0,26523.0,0.16922752185400577
1,3,yes,torus3d_xopposite,0.75,127833.0,127719.0,0.5326375,0.9991082114946844,0.1995609375,2345.579843,2.134357,233567.0,39191.0,21374.0,0.14368414491967238
1,3,yes,torus3d_xopposite,1.0,128000.0,127872.0,0.4,0.999,0.1998,3002.312672,2.000172,255836.0,122.0,100.0,0.00047664069886465746
